week,posts,comments,total,period
2021-11-01,12.0,170.0,182.0,pre
2021-11-08,11.0,197.0,208.0,pre
2021-11-15,14.0,122.0,136.0,pre
2021-11-22,14.0,154.0,168.0,pre
2021-11-29,6.0,187.0,193.0,pre
2021-12-06,13.0,154.0,167.0,pre
2021-12-13,9.0,147.0,156.0,pre
2021-12-20,10.0,135.0,145.0,pre
2021-12-27,4.0,96.0,100.0,pre
2022-01-03,13.0,117.0,130.0,pre
2022-01-10,15.0,144.0,159.0,pre
2022-01-17,23.0,216.0,239.0,pre
2022-01-24,11.0,277.0,288.0,pre
2022-01-31,18.0,157.0,175.0,pre
2022-02-07,31.0,167.0,198.0,pre
2022-02-14,17.0,581.0,598.0,pre
2022-02-21,18.0,302.0,320.0,pre
2022-02-28,17.0,198.0,215.0,pre
2022-03-07,26.0,223.0,249.0,pre
2022-03-14,44.0,195.0,239.0,pre
2022-03-21,17.0,241.0,258.0,pre
2022-03-28,17.0,180.0,197.0,pre
2022-04-04,13.0,129.0,142.0,pre
2022-04-11,16.0,163.0,179.0,pre
2022-04-18,23.0,130.0,153.0,pre
2022-04-25,32.0,202.0,234.0,pre
2022-05-02,10.0,170.0,180.0,pre
2022-05-09,23.0,186.0,209.0,pre
2022-05-16,9.0,138.0,147.0,pre
2022-05-23,21.0,174.0,195.0,pre
2022-05-30,11.0,162.0,173.0,pre
2022-06-06,17.0,115.0,132.0,pre
2022-06-13,12.0,154.0,166.0,pre
2022-06-20,10.0,200.0,210.0,pre
2022-06-27,20.0,142.0,162.0,pre
2022-07-04,14.0,197.0,211.0,pre
2022-07-11,26.0,218.0,244.0,pre
2022-07-18,25.0,195.0,220.0,pre
2022-07-25,26.0,250.0,276.0,pre
2022-08-01,16.0,174.0,190.0,pre
2022-08-08,15.0,153.0,168.0,pre
2022-08-15,23.0,148.0,171.0,pre
2022-08-22,17.0,202.0,219.0,pre
2022-08-29,13.0,143.0,156.0,pre
2022-09-05,12.0,152.0,164.0,pre
2022-09-12,16.0,164.0,180.0,pre
2022-09-19,22.0,110.0,132.0,pre
2022-09-26,24.0,172.0,196.0,pre
2022-10-03,25.0,154.0,179.0,pre
2022-10-10,21.0,141.0,162.0,pre
2022-10-17,26.0,243.0,269.0,pre
2022-10-24,30.0,202.0,232.0,pre
2022-10-31,22.0,153.0,175.0,pre
2022-11-07,18.0,150.0,168.0,pre
2022-11-14,16.0,177.0,193.0,pre
2022-11-21,18.0,147.0,165.0,pre
2022-11-28,30.0,159.0,189.0,pre
2022-12-05,34.0,216.0,250.0,pre
2022-12-12,30.0,507.0,537.0,pre
2022-12-19,21.0,156.0,177.0,pre
2022-12-26,27.0,153.0,180.0,pre
2023-01-02,22.0,170.0,192.0,pre
2023-01-09,11.0,179.0,190.0,pre
2023-01-16,20.0,219.0,239.0,pre
2023-01-23,14.0,261.0,275.0,pre
2023-01-30,16.0,166.0,182.0,pre
2023-02-06,22.0,262.0,284.0,pre
2023-02-13,12.0,199.0,211.0,pre
2023-02-20,25.0,157.0,182.0,pre
2023-02-27,23.0,248.0,271.0,pre
2023-03-06,17.0,220.0,237.0,pre
2023-03-13,16.0,336.0,352.0,pre
2023-03-20,25.0,176.0,201.0,pre
2023-03-27,15.0,162.0,177.0,pre
2023-04-03,23.0,237.0,260.0,pre
2023-04-10,17.0,184.0,201.0,pre
2023-04-17,13.0,183.0,196.0,pre
2023-04-24,26.0,213.0,239.0,pre
2023-05-01,19.0,196.0,215.0,pre
2023-05-08,17.0,205.0,222.0,pre
2023-05-15,22.0,277.0,299.0,pre
2023-05-22,21.0,160.0,181.0,pre
2023-05-29,13.0,237.0,250.0,pre
2023-06-05,13.0,231.0,244.0,pre
2023-06-12,24.0,130.0,154.0,pre
2023-06-19,26.0,134.0,160.0,pre
2023-06-26,16.0,132.0,148.0,pre
2023-07-03,26.0,238.0,264.0,pre
2023-07-10,30.0,309.0,339.0,pre
2023-07-17,16.0,192.0,208.0,pre
2023-07-24,25.0,195.0,220.0,pre
2023-07-31,23.0,233.0,256.0,pre
2023-08-07,25.0,141.0,166.0,pre
2023-08-14,25.0,237.0,262.0,pre
2023-08-21,35.0,237.0,272.0,pre
2023-08-28,28.0,213.0,241.0,pre
2023-09-04,50.0,187.0,237.0,pre
2023-09-11,17.0,294.0,311.0,pre
