week,posts,comments,total,period
2021-11-01,8,102,110,pre
2021-11-08,7,66,73,pre
2021-11-15,7,84,91,pre
2021-11-22,5,113,118,pre
2021-11-29,3,86,89,pre
2021-12-06,3,74,77,pre
2021-12-13,5,88,93,pre
2021-12-20,2,57,59,pre
2021-12-27,2,70,72,pre
2022-01-03,0,76,76,pre
2022-01-10,7,103,110,pre
2022-01-17,12,128,140,pre
2022-01-24,9,99,108,pre
2022-01-31,10,118,128,pre
2022-02-07,17,366,383,pre
2022-02-14,11,206,217,pre
2022-02-21,6,92,98,pre
2022-02-28,3,97,100,pre
2022-03-07,9,87,96,pre
2022-03-14,16,154,170,pre
2022-03-21,4,81,85,pre
2022-03-28,5,84,89,pre
2022-04-04,3,109,112,pre
2022-04-11,5,65,70,pre
2022-04-18,6,105,111,pre
2022-04-25,12,93,105,pre
2022-05-02,6,87,93,pre
2022-05-09,2,60,62,pre
2022-05-16,2,76,78,pre
2022-05-23,9,83,92,pre
2022-05-30,5,56,61,pre
2022-06-06,1,86,87,pre
2022-06-13,1,112,113,pre
2022-06-20,6,67,73,pre
2022-06-27,7,104,111,pre
2022-07-04,4,124,128,pre
2022-07-11,13,122,135,pre
2022-07-18,15,129,144,pre
2022-07-25,13,103,116,pre
2022-08-01,4,97,101,pre
2022-08-08,7,85,92,pre
2022-08-15,9,118,127,pre
2022-08-22,7,68,75,pre
2022-08-29,5,93,98,pre
2022-09-05,10,104,114,pre
2022-09-12,0,62,62,pre
2022-09-19,4,64,68,pre
2022-09-26,8,75,83,pre
2022-10-03,6,77,83,pre
2022-10-10,5,130,135,pre
2022-10-17,5,115,120,pre
2022-10-24,6,81,87,pre
2022-10-31,3,77,80,pre
2022-11-07,4,89,93,pre
2022-11-14,1,62,63,pre
2022-11-21,8,65,73,pre
2022-11-28,7,127,134,pre
2022-12-05,15,338,353,pre
2022-12-12,6,85,91,pre
2022-12-19,3,70,73,pre
2022-12-26,7,94,101,pre
2023-01-02,2,73,75,pre
2023-01-09,14,131,145,pre
2023-01-16,12,149,161,pre
2023-01-23,4,78,82,pre
2023-01-30,7,158,165,pre
2023-02-06,4,95,99,pre
2023-02-13,5,81,86,pre
2023-02-20,9,136,145,pre
2023-02-27,5,110,115,pre
2023-03-06,14,185,199,pre
2023-03-13,10,115,125,pre
2023-03-20,7,109,116,pre
2023-03-27,5,69,74,pre
2023-04-03,12,87,99,pre
2023-04-10,5,96,101,pre
2023-04-17,7,107,114,pre
2023-04-24,9,116,125,pre
2023-05-01,8,79,87,pre
2023-05-08,6,170,176,pre
2023-05-15,8,87,95,pre
2023-05-22,9,141,150,pre
2023-05-29,2,133,135,pre
2023-06-05,8,78,86,pre
2023-06-12,7,86,93,pre
2023-06-19,6,76,82,pre
2023-06-26,10,143,153,pre
2023-07-03,12,222,234,pre
2023-07-10,5,134,139,pre
2023-07-17,11,115,126,pre
2023-07-24,10,140,150,pre
2023-07-31,10,64,74,pre
2023-08-07,10,145,155,pre
2023-08-14,8,163,171,pre
2023-08-21,5,115,120,pre
2023-08-28,3,100,103,pre
2023-09-04,7,181,188,pre
2023-09-11,8,77,85,pre
2023-09-18,15,190,205,pre
2023-09-25,7,168,175,pre
2023-10-02,8,112,120,pre
2023-10-09,5,82,87,pre
2023-10-16,6,91,97,pre
2023-10-23,15,208,223,pre
2023-10-30,10,82,92,post
2023-11-06,8,132,140,post
2023-11-13,8,78,86,post
2023-11-20,4,86,90,post
2023-11-27,6,102,108,post
2023-12-04,11,181,192,post
2023-12-11,4,173,177,post
2023-12-18,2,115,117,post
2023-12-25,1,70,71,post
2024-01-01,4,103,107,post
2024-01-08,9,79,88,post
2024-01-15,5,78,83,post
2024-01-22,11,124,135,post
2024-01-29,9,130,139,post
2024-02-05,12,222,234,post
2024-02-12,10,151,161,post
2024-02-19,13,143,156,post
2024-02-26,12,120,132,post
2024-03-04,11,110,121,post
2024-03-11,6,63,69,post
2024-03-18,10,132,142,post
2024-03-25,2,94,96,post
2024-04-01,10,123,133,post
2024-04-08,8,108,116,post
2024-04-15,9,166,175,post
2024-04-22,12,86,98,post
2024-04-29,5,100,105,post
2024-05-06,9,108,117,post
2024-05-13,5,81,86,post
2024-05-20,18,120,138,post
2024-05-27,7,95,102,post
2024-06-03,6,99,105,post
2024-06-10,9,68,77,post
2024-06-17,6,101,107,post
2024-06-24,9,96,105,post
2024-07-01,8,186,194,post
2024-07-08,5,103,108,post
2024-07-15,5,89,94,post
2024-07-22,6,87,93,post
2024-07-29,9,154,163,post
2024-08-05,19,238,257,post
2024-08-12,9,125,134,post
2024-08-19,9,93,102,post
2024-08-26,7,111,118,post
2024-09-02,5,96,101,post
2024-09-09,9,82,91,post
2024-09-16,6,107,113,post
2024-09-23,8,69,77,post
2024-09-30,4,85,89,post
2024-10-07,3,64,67,post
2024-10-14,6,155,161,post
2024-10-21,5,86,91,post
2024-10-28,11,67,78,post
2024-11-04,5,70,75,post
2024-11-11,6,152,158,post
2024-11-18,4,140,144,post
2024-11-25,12,295,307,post
2024-12-02,4,77,81,post
2024-12-09,8,158,166,post
2024-12-16,16,207,223,post
2024-12-23,8,112,120,post
2024-12-30,8,116,124,post
2025-01-06,9,203,212,post
2025-01-13,15,649,664,post
2025-01-20,9,210,219,post
2025-01-27,10,162,172,post
2025-02-03,6,300,306,post
2025-02-10,4,175,179,post
2025-02-17,9,446,455,post
2025-02-24,15,187,202,post
2025-03-03,9,147,156,post
2025-03-10,4,160,164,post
2025-03-17,15,208,223,post
2025-03-24,14,134,148,post
2025-03-31,16,133,149,post
2025-04-07,9,229,238,post
2025-04-14,7,150,157,post
2025-04-21,7,115,122,post
2025-04-28,8,419,427,post
2025-05-05,4,136,140,post
2025-05-12,7,153,160,post
