week,unique_users,new_users,cumulative_users
2021-10-26,99,99,99
2021-11-02,64,62,161
2021-11-09,63,60,221
2021-11-16,80,71,292
2021-11-23,84,76,368
2021-11-30,72,61,429
2021-12-07,68,59,488
2021-12-14,64,56,544
2021-12-21,43,40,584
2021-12-28,67,56,640
2022-01-04,70,58,698
2022-01-11,69,56,754
2022-01-18,105,87,841
2022-01-25,72,55,896
2022-02-01,106,84,980
2022-02-08,319,265,1245
2022-02-15,90,59,1304
2022-02-22,82,59,1363
2022-03-01,96,63,1426
2022-03-08,70,52,1478
2022-03-15,127,87,1565
2022-03-22,59,46,1611
2022-03-29,83,53,1664
2022-04-05,83,62,1726
2022-04-12,68,50,1776
2022-04-19,76,57,1833
2022-04-26,88,58,1891
2022-05-03,65,49,1940
2022-05-10,53,30,1970
2022-05-17,69,51,2021
2022-05-24,73,51,2072
2022-05-31,35,29,2101
2022-06-07,73,56,2157
2022-06-14,96,58,2215
2022-06-21,61,39,2254
2022-06-28,79,48,2302
2022-07-05,107,66,2368
2022-07-12,88,49,2417
2022-07-19,123,76,2493
2022-07-26,91,64,2557
2022-08-02,68,50,2607
2022-08-09,86,63,2670
2022-08-16,102,72,2742
2022-08-23,42,33,2775
2022-08-30,88,67,2842
2022-09-06,83,59,2901
2022-09-13,50,34,2935
2022-09-20,64,51,2986
2022-09-27,59,40,3026
2022-10-04,80,59,3085
2022-10-11,95,59,3144
2022-10-18,92,65,3209
2022-10-25,76,48,3257
2022-11-01,69,51,3308
2022-11-08,68,37,3345
2022-11-15,50,31,3376
2022-11-22,64,42,3418
2022-11-29,106,77,3495
2022-12-06,237,171,3666
2022-12-13,61,39,3705
2022-12-20,65,40,3745
2022-12-27,65,41,3786
2023-01-03,62,43,3829
2023-01-10,126,82,3911
2023-01-17,113,58,3969
2023-01-24,75,50,4019
2023-01-31,134,81,4100
2023-02-07,71,47,4147
2023-02-14,72,56,4203
2023-02-21,106,54,4257
2023-02-28,94,54,4311
2023-03-07,150,85,4396
2023-03-14,70,38,4434
2023-03-21,94,57,4491
2023-03-28,66,39,4530
2023-04-04,75,52,4582
2023-04-11,79,52,4634
2023-04-18,89,51,4685
2023-04-25,88,44,4729
2023-05-02,88,42,4771
2023-05-09,111,71,4842
2023-05-16,68,35,4877
2023-05-23,111,61,4938
2023-05-30,117,70,5008
2023-06-06,71,44,5052
2023-06-13,60,42,5094
2023-06-20,68,44,5138
2023-06-27,127,65,5203
2023-07-04,176,105,5308
2023-07-11,108,56,5364
2023-07-18,98,53,5417
2023-07-25,119,67,5484
2023-08-01,71,38,5522
2023-08-08,116,64,5586
2023-08-15,125,75,5661
2023-08-22,79,39,5700
2023-08-29,92,49,5749
2023-09-05,137,68,5817
2023-09-12,69,36,5853
2023-09-19,142,81,5934
2023-09-26,134,71,6005
2023-10-03,100,61,6066
2023-10-10,85,48,6114
2023-10-17,79,40,6154
2023-10-24,170,98,6252
2023-10-31,75,44,6296
2023-11-07,111,60,6356
2023-11-14,65,33,6389
2023-11-21,97,59,6448
2023-11-28,69,44,6492
2023-12-05,154,84,6576
2023-12-12,135,81,6657
2023-12-19,94,51,6708
2023-12-26,59,31,6739
2024-01-02,86,54,6793
2024-01-09,63,42,6835
2024-01-16,71,29,6864
2024-01-23,112,64,6928
2024-01-30,115,71,6999
2024-02-06,192,110,7109
2024-02-13,128,75,7184
2024-02-20,116,67,7251
2024-02-27,113,64,7315
2024-03-05,75,47,7362
2024-03-12,80,41,7403
2024-03-19,108,62,7465
2024-03-26,93,62,7527
2024-04-02,91,53,7580
2024-04-09,120,68,7648
2024-04-16,111,70,7718
2024-04-23,83,46,7764
2024-04-30,89,54,7818
2024-05-07,87,37,7855
2024-05-14,111,57,7912
2024-05-21,87,55,7967
2024-05-28,90,50,8017
2024-06-04,72,45,8062
2024-06-11,73,47,8109
2024-06-18,93,60,8169
2024-06-25,72,40,8209
2024-07-02,154,94,8303
2024-07-09,74,39,8342
2024-07-16,80,43,8385
2024-07-23,75,47,8432
2024-07-30,155,83,8515
2024-08-06,173,95,8610
2024-08-13,83,49,8659
2024-08-20,79,47,8706
2024-08-27,104,62,8768
2024-09-03,78,51,8819
2024-09-10,78,51,8870
2024-09-17,84,48,8918
2024-09-24,46,30,8948
2024-10-01,65,30,8978
2024-10-08,67,35,9013
2024-10-15,120,69,9082
2024-10-22,69,47,9129
2024-10-29,51,23,9152
2024-11-05,102,59,9211
2024-11-12,75,41,9252
2024-11-19,123,72,9324
2024-11-26,207,103,9427
2024-12-03,67,39,9466
2024-12-10,124,62,9528
2024-12-17,165,88,9616
2024-12-24,94,59,9675
2024-12-31,92,45,9720
2025-01-07,138,76,9796
2025-01-14,436,258,10054
2025-01-21,173,95,10149
2025-01-28,148,93,10242
2025-02-04,192,99,10341
2025-02-11,160,85,10426
2025-02-18,299,160,10586
2025-02-25,161,79,10665
2025-03-04,107,54,10719
2025-03-11,166,77,10796
2025-03-18,143,63,10859
2025-03-25,108,51,10910
2025-04-01,124,53,10963
2025-04-08,159,76,11039
2025-04-15,111,59,11098
2025-04-22,112,59,11157
2025-04-29,307,168,11325
2025-05-06,115,50,11375
2025-05-13,104,51,11426
2025-05-20,102,53,11479
2025-05-27,90,43,11522
2025-06-03,132,71,11593
2025-06-10,68,40,11633
2025-06-17,159,75,11708
2025-06-24,265,134,11842
2025-07-01,173,82,11924
2025-07-08,250,116,12040
2025-07-15,687,375,12415
2025-07-22,2757,1744,14159
2025-07-29,3050,1648,15807
2025-08-05,934,331,16138
2025-08-12,875,334,16472
2025-08-19,957,339,16811
2025-08-26,637,242,17053
2025-09-02,402,121,17174
2025-09-09,289,95,17269
2025-09-16,300,94,17363
2025-09-23,645,242,17605
2025-09-30,689,212,17817
2025-10-07,534,194,18011
2025-10-14,309,97,18108
2025-10-21,240,71,18179
