week,unique_users,new_users,cumulative_users
2021-11-01,39,39,39
2021-11-08,28,27,66
2021-11-15,42,42,108
2021-11-22,38,35,143
2021-11-29,47,45,188
2021-12-06,42,39,227
2021-12-13,38,33,260
2021-12-20,45,41,301
2021-12-27,26,23,324
2022-01-03,37,34,358
2022-01-10,64,58,416
2022-01-17,69,60,476
2022-01-24,50,42,518
2022-01-31,47,45,563
2022-02-07,201,179,742
2022-02-14,144,120,862
2022-02-21,26,21,883
2022-02-28,43,37,920
2022-03-07,83,70,990
2022-03-14,58,42,1032
2022-03-21,42,33,1065
2022-03-28,38,28,1093
2022-04-04,51,42,1135
2022-04-11,42,33,1168
2022-04-18,102,86,1254
2022-04-25,44,37,1291
2022-05-02,42,32,1323
2022-05-09,53,37,1360
2022-05-16,32,25,1385
2022-05-23,28,22,1407
2022-05-30,31,23,1430
2022-06-06,52,40,1470
2022-06-13,54,40,1510
2022-06-20,39,26,1536
2022-06-27,36,25,1561
2022-07-04,60,43,1604
2022-07-11,31,20,1624
2022-07-18,64,45,1669
2022-07-25,48,40,1709
2022-08-01,54,42,1751
2022-08-08,38,30,1781
2022-08-15,54,34,1815
2022-08-22,47,36,1851
2022-08-29,59,43,1894
2022-09-05,53,46,1940
2022-09-12,43,33,1973
2022-09-19,48,32,2005
2022-09-26,51,37,2042
2022-10-03,63,38,2080
2022-10-10,93,70,2150
2022-10-17,53,39,2189
2022-10-24,54,35,2224
2022-10-31,44,28,2252
2022-11-07,46,29,2281
2022-11-14,42,33,2314
2022-11-21,61,45,2359
2022-11-28,65,44,2403
2022-12-05,190,156,2559
2022-12-12,46,33,2592
2022-12-19,41,30,2622
2022-12-26,52,37,2659
2023-01-02,37,30,2689
2023-01-09,78,58,2747
2023-01-16,64,48,2795
2023-01-23,46,31,2826
2023-01-30,75,57,2883
2023-02-06,38,28,2911
2023-02-13,26,21,2932
2023-02-20,61,44,2976
2023-02-27,44,32,3008
2023-03-06,100,73,3081
2023-03-13,47,31,3112
2023-03-20,52,41,3153
2023-03-27,36,23,3176
2023-04-03,62,48,3224
2023-04-10,49,36,3260
2023-04-17,39,24,3284
2023-04-24,55,27,3311
2023-05-01,38,26,3337
2023-05-08,70,45,3382
2023-05-15,44,30,3412
2023-05-22,75,47,3459
2023-05-29,95,70,3529
2023-06-05,49,41,3570
2023-06-12,21,16,3586
2023-06-19,60,40,3626
2023-06-26,68,43,3669
2023-07-03,77,56,3725
