    week,vpn,online safety act,age verification,ofcom,encryption,facial recognition,nordvpn,expressvpn,surfshark,mullvad
2021-10-24,15,0,0,1,2,0.0,1.0,1.0,1.0,0.0
2021-10-31,16,0,0,2,2,0.0,2.0,1.0,1.0,0.0
2021-11-07,15,0,0,2,2,0.0,1.0,1.0,1.0,0.0
2021-11-14,15,0,0,2,2,0.0,2.0,1.0,1.0,0.0
2021-11-21,16,0,0,2,2,0.0,2.0,1.0,1.0,0.0
2021-11-28,15,0,0,2,2,0.0,2.0,1.0,1.0,0.0
2021-12-05,16,0,0,2,2,0.0,1.0,1.0,1.0,0.0
2021-12-12,16,0,0,2,2,0.0,2.0,1.0,1.0,0.0
2021-12-19,16,0,0,1,2,0.0,2.0,1.0,1.0,0.0
2021-12-26,16,0,0,1,1,0.0,2.0,1.0,2.0,0.0
2022-01-02,17,0,0,2,2,0.0,2.0,1.0,1.0,0.0
2022-01-09,19,0,0,2,3,0.0,2.0,1.0,1.0,0.0
2022-01-16,18,0,0,2,3,0.0,2.0,1.0,1.0,0.0
2022-01-23,18,0,0,2,3,0.0,2.0,1.0,1.0,0.0
2022-01-30,18,0,0,2,3,0.0,2.0,1.0,1.0,0.0
2022-02-06,19,0,1,2,3,0.0,3.0,1.0,1.0,0.0
2022-02-13,21,0,0,2,2,1.0,2.0,1.0,2.0,0.0
2022-02-20,20,0,0,2,2,0.0,2.0,1.0,2.0,0.0
2022-02-27,21,0,0,2,3,0.0,3.0,1.0,2.0,0.0
2022-03-06,21,0,0,2,3,1.0,4.0,1.0,1.0,0.0
2022-03-13,23,0,0,2,3,1.0,3.0,1.0,2.0,0.0
2022-03-20,21,0,0,2,3,1.0,3.0,1.0,2.0,0.0
2022-03-27,22,0,0,2,3,0.0,3.0,1.0,2.0,0.0
2022-04-03,22,0,0,2,3,0.0,3.0,1.0,2.0,0.0
2022-04-10,19,0,0,2,2,0.0,3.0,1.0,2.0,0.0
2022-04-17,22,0,0,2,2,0.0,3.0,1.0,2.0,0.0
2022-04-24,21,0,0,2,3,1.0,3.0,1.0,2.0,0.0
2022-05-01,22,0,0,2,2,1.0,2.0,1.0,2.0,0.0
2022-05-08,19,0,0,2,3,1.0,2.0,1.0,1.0,0.0
2022-05-15,17,0,0,2,3,0.0,2.0,1.0,1.0,0.0
2022-05-22,17,0,0,2,2,0.0,2.0,1.0,1.0,0.0
2022-05-29,17,0,0,1,2,0.0,2.0,1.0,1.0,0.0
2022-06-05,18,0,0,2,2,0.0,2.0,1.0,2.0,0.0
2022-06-12,18,0,0,2,2,0.0,2.0,1.0,1.0,0.0
2022-06-19,17,0,0,2,2,0.0,2.0,1.0,1.0,0.0
