week,vpn_us,online safety act_us,age verification_us,ofcom_us,encryption_us,facial recognition_us,nordvpn_us,expressvpn_us,surfshark_us,mullvad_us
2021-10-24,48,0,0,0,6,1.0,4.0,2.0,1.0,0.0
2021-10-31,45,0,0,0,6,2.0,4.0,1.0,1.0,0.0
2021-11-07,48,0,0,0,6,1.0,4.0,2.0,1.0,0.0
2021-11-14,42,0,0,0,6,1.0,3.0,1.0,1.0,0.0
2021-11-21,37,0,0,0,4,1.0,4.0,2.0,1.0,0.0
2021-11-28,41,0,0,0,6,1.0,4.0,1.0,1.0,0.0
2021-12-05,38,0,0,0,6,1.0,3.0,1.0,1.0,0.0
2021-12-12,37,0,0,0,5,1.0,3.0,1.0,1.0,0.0
2021-12-19,35,0,0,0,4,1.0,3.0,1.0,1.0,0.0
2021-12-26,36,0,0,0,3,1.0,4.0,2.0,1.0,0.0
2022-01-02,43,0,0,0,5,1.0,5.0,2.0,1.0,0.0
2022-01-09,47,0,0,0,6,1.0,4.0,2.0,1.0,0.0
2022-01-16,43,0,0,0,6,2.0,4.0,2.0,2.0,0.0
2022-01-23,44,0,0,0,7,2.0,4.0,2.0,2.0,0.0
2022-01-30,45,0,0,0,7,2.0,4.0,2.0,1.0,0.0
2022-02-06,46,0,0,0,7,2.0,4.0,2.0,2.0,0.0
2022-02-13,44,0,0,0,8,2.0,4.0,2.0,2.0,0.0
2022-02-20,43,0,0,0,7,2.0,4.0,2.0,2.0,0.0
2022-02-27,45,0,0,0,7,1.0,5.0,2.0,2.0,0.0
2022-03-06,46,0,0,0,7,1.0,5.0,2.0,2.0,0.0
2022-03-13,47,0,0,0,7,1.0,5.0,2.0,2.0,0.0
2022-03-20,44,0,0,0,7,1.0,4.0,2.0,2.0,0.0
2022-03-27,45,0,0,0,7,1.0,5.0,2.0,2.0,0.0
2022-04-03,47,0,0,0,7,1.0,5.0,2.0,2.0,0.0
2022-04-10,47,0,0,0,7,2.0,5.0,2.0,2.0,0.0
2022-04-17,47,0,0,0,7,1.0,5.0,2.0,2.0,0.0
2022-04-24,42,0,0,0,7,1.0,4.0,2.0,2.0,0.0
2022-05-01,41,0,0,0,7,1.0,4.0,2.0,2.0,0.0
2022-05-08,43,0,0,0,7,2.0,4.0,2.0,2.0,0.0
2022-05-15,42,0,0,0,7,2.0,4.0,2.0,2.0,0.0
2022-05-22,41,0,0,0,6,2.0,4.0,2.0,2.0,0.0
2022-05-29,40,0,0,0,5,1.0,4.0,2.0,2.0,0.0
2022-06-05,41,0,0,0,6,1.0,4.0,2.0,2.0,0.0
2022-06-12,40,0,0,0,6,1.0,4.0,2.0,2.0,0.0
2022-06-19,42,0,0,0,6,1.0,4.0,2.0,2.0,0.0
2022-06-26,43,0,0,0,6,1.0,4.0,2.0,2.0,1.0
2022-07-03,43,0,0,0,5,1.0,4.0,2.0,2.0,0.0
2022-07-10,42,0,0,0,6,1.0,4.0,2.0,2.0,1.0
2022-07-17,44,0,0,0,6,1.0,4.0,2.0,2.0,0.0
2022-07-24,41,0,0,0,6,1.0,4.0,2.0,2.0,1.0
2022-07-31,42,0,0,0,6,1.0,4.0,2.0,2.0,0.0
2022-08-07,45,0,0,0,7,1.0,4.0,2.0,2.0,1.0
2022-08-14,46,0,0,0,6,1.0,4.0,2.0,2.0,1.0
2022-08-21,48,0,0,0,6,1.0,4.0,2.0,2.0,0.0
2022-08-28,45,0,0,0,6,1.0,4.0,2.0,2.0,1.0
2022-09-04,44,0,0,0,6,1.0,4.0,2.0,2.0,0.0
2022-09-11,45,0,0,0,6,1.0,4.0,2.0,2.0,0.0
2022-09-18,48,0,0,0,6,1.0,4.0,2.0,2.0,0.0
2022-09-25,48,0,0,0,7,1.0,4.0,2.0,2.0,0.0
2022-10-02,50,0,0,0,7,1.0,4.0,2.0,1.0,0.0
2022-10-09,46,0,0,0,7,1.0,4.0,2.0,1.0,0.0
2022-10-16,48,0,0,0,7,1.0,4.0,2.0,2.0,0.0
2022-10-23,45,0,0,0,6,1.0,4.0,2.0,1.0,0.0
2022-10-30,44,0,0,0,7,1.0,4.0,2.0,1.0,0.0
2022-11-06,41,0,0,0,6,1.0,4.0,2.0,1.0,0.0
2022-11-13,44,0,0,0,7,1.0,4.0,2.0,2.0,1.0
2022-11-20,47,0,0,0,5,1.0,6.0,2.0,2.0,1.0
2022-11-27,47,0,0,0,7,1.0,5.0,2.0,2.0,1.0
2022-12-04,47,0,0,0,7,2.0,4.0,2.0,2.0,1.0
2022-12-11,48,0,0,0,7,1.0,4.0,2.0,1.0,0.0
2022-12-18,45,0,0,0,6,2.0,4.0,2.0,1.0,0.0
2022-12-25,41,0,0,0,4,1.0,5.0,2.0,2.0,1.0
2023-01-01,45,0,1,0,6,1.0,4.0,2.0,2.0,1.0
2023-01-08,48,0,0,0,7,1.0,5.0,2.0,2.0,1.0
2023-01-15,43,0,0,0,6,1.0,5.0,2.0,1.0,1.0
2023-01-22,46,0,0,0,7,2.0,4.0,2.0,2.0,1.0
2023-01-29,46,0,0,0,7,2.0,4.0,2.0,2.0,0.0
2023-02-05,44,0,0,0,7,1.0,5.0,2.0,2.0,1.0
2023-02-12,42,0,0,0,7,1.0,4.0,2.0,1.0,1.0
2023-02-19,42,0,0,0,7,2.0,4.0,2.0,1.0,1.0
2023-02-26,43,0,0,0,8,1.0,4.0,2.0,2.0,0.0
2023-03-05,43,0,0,0,7,2.0,4.0,2.0,1.0,1.0
2023-03-12,43,0,0,0,6,1.0,4.0,2.0,1.0,1.0
2023-03-19,43,0,0,0,7,2.0,4.0,2.0,2.0,1.0
2023-03-26,47,0,0,0,7,1.0,4.0,2.0,2.0,1.0
2023-04-02,45,0,0,0,7,1.0,4.0,2.0,2.0,1.0
2023-04-09,45,0,0,0,7,1.0,4.0,2.0,2.0,1.0
2023-04-16,46,0,0,0,7,2.0,4.0,2.0,1.0,1.0
2023-04-23,43,0,0,0,7,1.0,4.0,2.0,2.0,1.0
2023-04-30,43,0,1,0,8,1.0,3.0,2.0,2.0,1.0
2023-05-07,43,0,0,0,7,1.0,4.0,2.0,2.0,1.0
2023-05-14,46,0,0,0,7,1.0,3.0,2.0,1.0,1.0
2023-05-21,45,0,0,0,7,1.0,4.0,2.0,2.0,1.0
2023-05-28,44,0,0,0,6,1.0,4.0,2.0,2.0,1.0
2023-06-04,41,0,0,0,6,1.0,3.0,2.0,2.0,1.0
2023-06-11,43,0,0,0,6,1.0,4.0,2.0,2.0,1.0
2023-06-18,40,0,0,0,6,1.0,3.0,2.0,2.0,0.0
2023-06-25,43,0,1,0,6,1.0,4.0,2.0,2.0,1.0
2023-07-02,45,0,1,0,6,1.0,4.0,2.0,2.0,1.0
2023-07-09,44,0,1,0,6,1.0,4.0,1.0,2.0,1.0
2023-07-16,42,0,1,0,6,1.0,4.0,2.0,2.0,1.0
2023-07-23,47,1,1,0,6,1.0,4.0,2.0,2.0,1.0
2023-07-30,44,0,1,0,6,1.0,4.0,2.0,1.0,1.0
2023-08-06,43,0,1,0,6,2.0,4.0,2.0,2.0,1.0
2023-08-13,44,0,1,0,6,2.0,4.0,2.0,2.0,1.0
2023-08-20,48,1,0,0,6,1.0,3.0,2.0,2.0,1.0
2023-08-27,46,1,0,0,6,1.0,4.0,2.0,2.0,1.0
2023-09-03,46,1,0,0,6,1.0,4.0,2.0,2.0,1.0
