week,posts,comments,total,period
2021-11-01,4,112,116,pre
2021-11-08,7,138,145,pre
2021-11-15,5,72,77,pre
2021-11-22,8,112,120,pre
2021-11-29,4,139,143,pre
2021-12-06,5,102,107,pre
2021-12-13,4,95,99,pre
2021-12-20,6,100,106,pre
2021-12-27,2,54,56,pre
2022-01-03,4,85,89,pre
2022-01-10,6,97,103,pre
2022-01-17,13,112,125,pre
2022-01-24,4,132,136,pre
2022-01-31,9,112,121,pre
2022-02-07,26,121,147,pre
2022-02-14,7,464,471,pre
2022-02-21,6,235,241,pre
2022-02-28,8,113,121,pre
2022-03-07,12,136,148,pre
2022-03-14,27,96,123,pre
2022-03-21,9,180,189,pre
2022-03-28,9,101,110,pre
2022-04-04,3,92,95,pre
2022-04-11,5,120,125,pre
2022-04-18,8,75,83,pre
2022-04-25,18,124,142,pre
2022-05-02,3,118,121,pre
2022-05-09,3,83,86,pre
2022-05-16,4,66,70,pre
2022-05-23,11,93,104,pre
2022-05-30,4,90,94,pre
2022-06-06,1,55,56,pre
2022-06-13,1,81,82,pre
2022-06-20,5,133,138,pre
2022-06-27,9,76,85,pre
2022-07-04,5,128,133,pre
2022-07-11,21,160,181,pre
2022-07-18,17,148,165,pre
2022-07-25,14,175,189,pre
2022-08-01,4,115,119,pre
2022-08-08,7,108,115,pre
2022-08-15,13,104,117,pre
2022-08-22,2,131,133,pre
2022-08-29,5,70,75,pre
2022-09-05,3,95,98,pre
2022-09-12,1,95,96,pre
2022-09-19,7,59,66,pre
2022-09-26,11,65,76,pre
2022-10-03,4,73,77,pre
2022-10-10,6,75,81,pre
2022-10-17,5,137,142,pre
2022-10-24,10,123,133,pre
2022-10-31,5,88,93,pre
2022-11-07,7,91,98,pre
2022-11-14,4,98,102,pre
2022-11-21,9,76,85,pre
2022-11-28,11,87,98,pre
2022-12-05,19,151,170,pre
2022-12-12,11,415,426,pre
2022-12-19,3,85,88,pre
2022-12-26,14,81,95,pre
2023-01-02,13,112,125,pre
2023-01-09,4,86,90,pre
2023-01-16,11,170,181,pre
2023-01-23,5,203,208,pre
2023-01-30,5,99,104,pre
2023-02-06,12,191,203,pre
2023-02-13,5,88,93,pre
2023-02-20,17,88,105,pre
2023-02-27,13,173,186,pre
2023-03-06,4,159,163,pre
2023-03-13,4,233,237,pre
2023-03-20,10,121,131,pre
2023-03-27,5,123,128,pre
2023-04-03,8,77,85,pre
2023-04-10,9,103,112,pre
2023-04-17,6,110,116,pre
2023-04-24,9,137,146,pre
2023-05-01,5,120,125,pre
2023-05-08,8,86,94,pre
2023-05-15,5,194,199,pre
2023-05-22,6,93,99,pre
2023-05-29,1,145,146,pre
2023-06-05,6,163,169,pre
2023-06-12,13,81,94,pre
2023-06-19,15,88,103,pre
2023-06-26,3,89,92,pre
2023-07-03,6,177,183,pre
2023-07-10,11,251,262,pre
2023-07-17,8,153,161,pre
2023-07-24,10,142,152,pre
2023-07-31,7,145,152,pre
2023-08-07,7,73,80,pre
2023-08-14,5,154,159,pre
2023-08-21,19,193,212,pre
2023-08-28,10,149,159,pre
2023-09-04,29,112,141,pre
2023-09-11,7,246,253,pre
2023-09-18,12,104,116,pre
2023-09-25,8,290,298,pre
2023-10-02,12,186,198,pre
2023-10-09,18,141,159,pre
2023-10-16,13,84,97,pre
2023-10-23,11,109,120,pre
2023-10-30,7,273,280,post
2023-11-06,3,103,106,post
2023-11-13,5,169,174,post
2023-11-20,16,85,101,post
2023-11-27,7,89,96,post
2023-12-04,2,115,117,post
2023-12-11,1,216,217,post
2023-12-18,2,192,194,post
2023-12-25,8,106,114,post
2024-01-01,6,68,74,post
2024-01-08,14,108,122,post
2024-01-15,8,85,93,post
2024-01-22,12,79,91,post
2024-01-29,6,132,138,post
2024-02-05,16,157,173,post
2024-02-12,15,250,265,post
2024-02-19,11,157,168,post
2024-02-26,5,147,152,post
2024-03-04,17,126,143,post
2024-03-11,2,120,122,post
2024-03-18,11,63,74,post
2024-03-25,8,149,157,post
2024-04-01,14,105,119,post
2024-04-08,23,131,154,post
2024-04-15,8,120,128,post
2024-04-22,6,186,192,post
2024-04-29,5,112,117,post
2024-05-06,22,130,152,post
2024-05-13,5,139,144,post
2024-05-20,5,109,114,post
2024-05-27,6,145,151,post
2024-06-03,4,101,105,post
2024-06-10,6,109,115,post
2024-06-17,7,86,93,post
2024-06-24,4,103,107,post
2024-07-01,9,91,100,post
2024-07-08,5,189,194,post
2024-07-15,11,123,134,post
2024-07-22,19,92,111,post
2024-07-29,12,88,100,post
2024-08-05,8,182,190,post
2024-08-12,7,292,299,post
2024-08-19,8,115,123,post
2024-08-26,7,90,97,post
2024-09-02,3,126,129,post
2024-09-09,8,104,112,post
2024-09-16,9,82,91,post
2024-09-23,13,90,103,post
2024-09-30,9,63,72,post
2024-10-07,7,95,102,post
2024-10-14,6,62,68,post
2024-10-21,9,179,188,post
2024-10-28,4,91,95,post
2024-11-04,14,75,89,post
2024-11-11,4,67,71,post
2024-11-18,6,180,186,post
2024-11-25,27,158,185,post
2024-12-02,9,327,336,post
2024-12-09,6,76,82,post
2024-12-16,9,147,156,post
2024-12-23,16,278,294,post
2024-12-30,6,137,143,post
2025-01-06,6,144,150,post
2025-01-13,12,230,242,post
2025-01-20,12,755,767,post
2025-01-27,21,232,253,post
2025-02-03,19,169,188,post
2025-02-10,12,332,344,post
2025-02-17,5,206,211,post
2025-02-24,19,483,502,post
2025-03-03,13,190,203,post
2025-03-10,16,170,186,post
2025-03-17,14,200,214,post
2025-03-24,12,243,255,post
2025-03-31,14,160,174,post
2025-04-07,13,157,170,post
2025-04-14,7,278,285,post
2025-04-21,6,190,196,post
2025-04-28,5,141,146,post
2025-05-05,16,525,541,post
2025-05-12,2,173,175,post
2025-05-19,10,163,173,post
2025-05-26,14,123,137,post
2025-06-02,13,116,129,post
2025-06-09,16,156,172,post
2025-06-16,18,100,118,post
2025-06-23,54,240,294,post
2025-06-30,276,427,703,post
2025-07-07,453,290,743,post
2025-07-14,137,237,374,post
2025-07-21,89,1153,1242,post
2025-07-28,88,4878,4966,post
2025-08-04,38,7942,7980,post
2025-08-11,32,2048,2080,post
2025-08-18,24,1534,1558,post
2025-08-25,12,1915,1927,post
2025-09-01,22,962,984,post
2025-09-08,38,715,753,post
2025-09-15,34,515,549,post
2025-09-22,23,431,454,post
