week,posts,comments,total,period
2021-11-01,7,96,103,pre
2021-11-08,5,58,63,pre
2021-11-15,6,81,87,pre
2021-11-22,3,104,107,pre
2021-11-29,2,78,80,pre
2021-12-06,3,64,67,pre
2021-12-13,3,73,76,pre
2021-12-20,1,36,37,pre
2021-12-27,1,61,62,pre
2022-01-03,0,69,69,pre
2022-01-10,3,76,79,pre
2022-01-17,6,97,103,pre
2022-01-24,4,90,94,pre
2022-01-31,5,100,105,pre
2022-02-07,11,353,364,pre
2022-02-14,7,189,196,pre
2022-02-21,6,83,89,pre
2022-02-28,2,84,86,pre
2022-03-07,7,70,77,pre
2022-03-14,15,133,148,pre
2022-03-21,3,72,75,pre
2022-03-28,3,73,76,pre
2022-04-04,2,94,96,pre
2022-04-11,0,54,54,pre
2022-04-18,5,93,98,pre
2022-04-25,12,82,94,pre
2022-05-02,2,68,70,pre
2022-05-09,0,51,51,pre
2022-05-16,0,68,68,pre
2022-05-23,6,68,74,pre
2022-05-30,2,36,38,pre
2022-06-06,1,65,66,pre
2022-06-13,1,94,95,pre
2022-06-20,3,57,60,pre
2022-06-27,5,92,97,pre
2022-07-04,2,114,116,pre
2022-07-11,11,111,122,pre
2022-07-18,11,122,133,pre
2022-07-25,9,83,92,pre
2022-08-01,1,81,82,pre
2022-08-08,4,72,76,pre
2022-08-15,7,96,103,pre
2022-08-22,2,50,52,pre
2022-08-29,2,76,78,pre
2022-09-05,2,83,85,pre
2022-09-12,0,48,48,pre
2022-09-19,2,49,51,pre
2022-09-26,4,54,58,pre
2022-10-03,3,57,60,pre
2022-10-10,4,114,118,pre
2022-10-17,3,105,108,pre
2022-10-24,6,67,73,pre
2022-10-31,2,65,67,pre
2022-11-07,3,73,76,pre
2022-11-14,1,57,58,pre
2022-11-21,1,57,58,pre
2022-11-28,7,110,117,pre
2022-12-05,12,321,333,pre
2022-12-12,0,69,69,pre
2022-12-19,0,59,59,pre
2022-12-26,6,79,85,pre
2023-01-02,0,57,57,pre
2023-01-09,11,123,134,pre
2023-01-16,8,139,147,pre
2023-01-23,1,73,74,pre
2023-01-30,6,145,151,pre
2023-02-06,2,71,73,pre
2023-02-13,2,70,72,pre
2023-02-20,8,120,128,pre
2023-02-27,3,98,101,pre
2023-03-06,10,163,173,pre
2023-03-13,7,97,104,pre
2023-03-20,3,96,99,pre
2023-03-27,2,57,59,pre
2023-04-03,9,79,88,pre
2023-04-10,4,81,85,pre
2023-04-17,4,93,97,pre
2023-04-24,6,93,99,pre
2023-05-01,4,47,51,pre
2023-05-08,4,148,152,pre
2023-05-15,5,72,77,pre
2023-05-22,6,112,118,pre
2023-05-29,1,123,124,pre
2023-06-05,3,66,69,pre
2023-06-12,1,69,70,pre
2023-06-19,3,65,68,pre
2023-06-26,5,128,133,pre
2023-07-03,7,203,210,pre
2023-07-10,2,127,129,pre
2023-07-17,5,101,106,pre
2023-07-24,6,110,116,pre
2023-07-31,4,49,53,pre
2023-08-07,5,122,127,pre
2023-08-14,6,151,157,pre
2023-08-21,2,101,103,pre
2023-08-28,1,89,90,pre
2023-09-04,4,162,166,pre
2023-09-11,5,68,73,pre
2023-09-18,11,180,191,pre
2023-09-25,3,154,157,pre
2023-10-02,6,108,114,pre
2023-10-09,5,68,73,pre
2023-10-16,6,86,92,pre
2023-10-23,11,196,207,pre
2023-10-30,8,73,81,post
2023-11-06,5,122,127,post
2023-11-13,2,64,66,post
2023-11-20,1,71,72,post
2023-11-27,5,89,94,post
2023-12-04,9,161,170,post
2023-12-11,3,160,163,post
2023-12-18,1,92,93,post
2023-12-25,1,53,54,post
2024-01-01,1,85,86,post
2024-01-08,5,68,73,post
2024-01-15,3,64,67,post
2024-01-22,8,100,108,post
2024-01-29,6,119,125,post
2024-02-05,9,200,209,post
2024-02-12,4,122,126,post
2024-02-19,12,115,127,post
2024-02-26,8,98,106,post
2024-03-04,7,94,101,post
2024-03-11,3,48,51,post
2024-03-18,10,119,129,post
2024-03-25,0,85,85,post
2024-04-01,4,111,115,post
2024-04-08,6,95,101,post
2024-04-15,8,151,159,post
2024-04-22,8,80,88,post
2024-04-29,2,87,89,post
2024-05-06,4,93,97,post
2024-05-13,3,73,76,post
2024-05-20,14,113,127,post
2024-05-27,3,78,81,post
2024-06-03,4,89,93,post
2024-06-10,5,58,63,post
2024-06-17,3,82,85,post
2024-06-24,4,78,82,post
2024-07-01,5,141,146,post
2024-07-08,2,95,97,post
2024-07-15,4,77,81,post
2024-07-22,5,68,73,post
2024-07-29,6,142,148,post
2024-08-05,15,230,245,post
2024-08-12,7,96,103,post
2024-08-19,5,72,77,post
2024-08-26,4,94,98,post
2024-09-02,2,77,79,post
2024-09-09,4,65,69,post
2024-09-16,2,80,82,post
2024-09-23,3,46,49,post
2024-09-30,3,67,70,post
