week,unique_users,new_users,cumulative_users
2021-11-01,88,88,88
2021-11-08,59,57,145
2021-11-15,73,66,211
2021-11-22,86,79,290
2021-11-29,70,59,349
2021-12-06,60,53,402
2021-12-13,64,53,455
2021-12-20,35,33,488
2021-12-27,57,49,537
2022-01-03,63,51,588
2022-01-10,61,51,639
2022-01-17,88,75,714
2022-01-24,76,61,775
2022-01-31,96,75,850
2022-02-07,249,200,1050
2022-02-14,148,121,1171
2022-02-21,79,57,1228
2022-02-28,72,44,1272
2022-03-07,71,55,1327
2022-03-14,115,79,1406
2022-03-21,68,52,1458
2022-03-28,65,41,1499
2022-04-04,90,68,1567
2022-04-11,48,34,1601
2022-04-18,86,68,1669
2022-04-25,82,53,1722
2022-05-02,60,45,1767
2022-05-09,49,27,1794
2022-05-16,63,45,1839
2022-05-23,69,48,1887
2022-05-30,36,30,1917
2022-06-06,62,50,1967
2022-06-13,84,56,2023
2022-06-20,55,30,2053
2022-06-27,84,54,2107
2022-07-04,92,56,2163
2022-07-11,92,53,2216
2022-07-18,108,66,2282
2022-07-25,83,56,2338
2022-08-01,77,59,2397
2022-08-08,70,51,2448
2022-08-15,89,67,2515
2022-08-22,49,35,2550
2022-08-29,73,56,2606
2022-09-05,77,57,2663
2022-09-12,47,33,2696
2022-09-19,52,38,2734
2022-09-26,55,44,2778
2022-10-03,58,41,2819
2022-10-10,98,62,2881
2022-10-17,96,69,2950
2022-10-24,65,37,2987
2022-10-31,64,47,3034
2022-11-07,70,44,3078
2022-11-14,54,30,3108
2022-11-21,55,39,3147
2022-11-28,88,62,3209
2022-12-05,245,182,3391
2022-12-12,54,34,3425
2022-12-19,54,35,3460
2022-12-26,67,38,3498
2023-01-02,54,38,3536
2023-01-09,116,76,3612
2023-01-16,128,70,3682
2023-01-23,66,44,3726
2023-01-30,119,75,3801
2023-02-06,68,41,3842
2023-02-13,63,47,3889
2023-02-20,101,63,3952
2023-02-27,85,44,3996
2023-03-06,144,86,4082
2023-03-13,74,36,4118
2023-03-20,87,51,4169
2023-03-27,53,34,4203
2023-04-03,78,52,4255
2023-04-10,73,47,4302
2023-04-17,82,51,4353
2023-04-24,80,38,4391
2023-05-01,46,22,4413
2023-05-08,116,69,4482
2023-05-15,65,40,4522
2023-05-22,101,63,4585
2023-05-29,114,70,4655
2023-06-05,61,38,4693
2023-06-12,56,38,4731
2023-06-19,65,41,4772
2023-06-26,115,63,4835
2023-07-03,162,95,4930
2023-07-10,115,61,4991
2023-07-17,92,50,5041
2023-07-24,100,51,5092
2023-07-31,55,32,5124
2023-08-07,112,62,5186
2023-08-14,126,75,5261
2023-08-21,87,45,5306
2023-08-28,81,40,5346
2023-09-04,120,60,5406
2023-09-11,59,29,5435
2023-09-18,151,87,5522
2023-09-25,125,67,5589
2023-10-02,106,65,5654
2023-10-09,66,41,5695
2023-10-16,81,42,5737
2023-10-23,171,94,5831
2023-10-30,69,41,5872
2023-11-06,112,60,5932
2023-11-13,60,29,5961
2023-11-20,67,46,6007
2023-11-27,86,53,6060
2023-12-04,148,82,6142
2023-12-11,138,84,6226
2023-12-18,87,49,6275
2023-12-25,49,26,6301
2024-01-01,79,49,6350
2024-01-08,60,40,6390
2024-01-15,59,25,6415
2024-01-22,99,56,6471
2024-01-29,111,68,6539
2024-02-05,167,95,6634
2024-02-12,110,67,6701
2024-02-19,118,67,6768
2024-02-26,93,53,6821
2024-03-04,91,53,6874
2024-03-11,48,24,6898
2024-03-18,117,64,6962
2024-03-25,79,50,7012
2024-04-01,98,65,7077
2024-04-08,94,45,7122
2024-04-15,137,86,7208
2024-04-22,77,43,7251
2024-04-29,79,48,7299
2024-05-06,82,36,7335
2024-05-13,71,40,7375
2024-05-20,112,61,7436
2024-05-27,75,50,7486
2024-06-03,82,47,7533
2024-06-10,60,40,7573
2024-06-17,78,49,7622
2024-06-24,79,47,7669
2024-07-01,122,74,7743
2024-07-08,88,48,7791
2024-07-15,73,38,7829
2024-07-22,68,41,7870
2024-07-29,125,70,7940
2024-08-05,188,104,8044
2024-08-12,84,49,8093
2024-08-19,74,44,8137
2024-08-26,92,56,8193
2024-09-02,73,45,8238
2024-09-09,67,43,8281
2024-09-16,72,45,8326
2024-09-23,43,30,8356
2024-09-30,61,26,8382
2024-10-07,49,24,8406
2024-10-14,118,70,8476
2024-10-21,64,42,8518
2024-10-28,51,26,8544
2024-11-04,51,29,8573
2024-11-11,108,61,8634
2024-11-18,110,65,8699
2024-11-25,202,103,8802
2024-12-02,57,30,8832
2024-12-09,115,65,8897
2024-12-16,157,84,8981
2024-12-23,78,44,9025
2024-12-30,82,38,9063
2025-01-06,141,82,9145
2025-01-13,422,249,9394
2025-01-20,152,85,9479
2025-01-27,129,77,9556
2025-02-03,198,109,9665
2025-02-10,133,76,9741
2025-02-17,302,158,9899
2025-02-24,140,65,9964
2025-03-03,113,60,10024
2025-03-10,131,68,10092
2025-03-17,164,68,10160
2025-03-24,111,54,10214
2025-03-31,98,40,10254
2025-04-07,169,81,10335
2025-04-14,108,58,10393
2025-04-21,88,43,10436
2025-04-28,317,178,10614
2025-05-05,106,45,10659
2025-05-12,107,50,10709
2025-05-19,94,53,10762
2025-05-26,86,39,10801
2025-06-02,117,61,10862
2025-06-09,64,40,10902
2025-06-16,149,70,10972
2025-06-23,257,130,11102
2025-06-30,159,80,11182
2025-07-07,150,66,11248
2025-07-14,687,382,11630
2025-07-21,2340,1463,13093
2025-07-28,3115,1749,14842
2025-08-04,950,355,15197
2025-08-11,779,271,15468
2025-08-18,984,364,15832
2025-08-25,556,207,16039
2025-09-01,405,128,16167
2025-09-08,291,91,16258
2025-09-15,256,77,16335
2025-09-22,599,225,16560
2025-09-29,662,216,16776
2025-10-06,504,181,16957
2025-10-13,328,93,17050
2025-10-20,282,89,17139
