week,unique_users,new_users,cumulative_users
2021-11-01,118,118,118
2021-11-08,71,66,184
2021-11-15,97,88,272
2021-11-22,120,109,381
2021-11-29,91,78,459
2021-12-06,88,77,536
2021-12-13,91,75,611
2021-12-20,54,48,659
2021-12-27,79,70,729
2022-01-03,86,71,800
2022-01-10,94,77,877
2022-01-17,125,106,983
2022-01-24,96,76,1059
2022-01-31,117,90,1149
2022-02-07,327,262,1411
2022-02-14,187,152,1563
2022-02-21,99,69,1632
2022-02-28,112,74,1706
2022-03-07,96,69,1775
2022-03-14,148,96,1871
2022-03-21,89,61,1932
2022-03-28,86,58,1990
2022-04-04,115,90,2080
2022-04-11,68,48,2128
2022-04-18,109,88,2216
2022-04-25,118,77,2293
2022-05-02,75,60,2353
2022-05-09,66,41,2394
2022-05-16,87,65,2459
2022-05-23,88,58,2517
2022-05-30,54,44,2561
2022-06-06,77,62,2623
2022-06-13,112,76,2699
2022-06-20,73,43,2742
2022-06-27,115,76,2818
2022-07-04,131,83,2901
2022-07-11,123,79,2980
2022-07-18,153,100,3080
2022-07-25,115,83,3163
2022-08-01,99,73,3236
2022-08-08,100,72,3308
2022-08-15,120,88,3396
2022-08-22,65,46,3442
2022-08-29,93,72,3514
2022-09-05,89,65,3579
2022-09-12,58,41,3620
2022-09-19,67,48,3668
2022-09-26,71,55,3723
2022-10-03,74,55,3778
2022-10-10,120,75,3853
2022-10-17,114,80,3933
2022-10-24,83,49,3982
2022-10-31,84,59,4041
2022-11-07,95,62,4103
2022-11-14,74,43,4146
2022-11-21,84,58,4204
2022-11-28,120,86,4290
2022-12-05,313,223,4513
2022-12-12,67,44,4557
2022-12-19,76,50,4607
2022-12-26,90,54,4661
2023-01-02,78,57,4718
2023-01-09,156,104,4822
2023-01-16,181,102,4924
2023-01-23,88,58,4982
2023-01-30,154,97,5079
2023-02-06,85,51,5130
2023-02-13,82,62,5192
2023-02-20,137,83,5275
2023-02-27,127,73,5348
2023-03-06,197,122,5470
2023-03-13,96,50,5520
2023-03-20,111,68,5588
2023-03-27,73,46,5634
2023-04-03,101,68,5702
2023-04-10,95,59,5761
2023-04-17,116,69,5830
2023-04-24,104,53,5883
2023-05-01,76,42,5925
2023-05-08,159,95,6020
2023-05-15,80,50,6070
2023-05-22,133,84,6154
2023-05-29,153,99,6253
2023-06-05,79,50,6303
2023-06-12,69,49,6352
2023-06-19,87,60,6412
2023-06-26,149,87,6499
2023-07-03,193,111,6610
2023-07-10,138,73,6683
2023-07-17,118,68,6751
2023-07-24,125,67,6818
2023-07-31,76,46,6864
2023-08-07,140,81,6945
2023-08-14,159,98,7043
2023-08-21,108,60,7103
2023-08-28,100,51,7154
2023-09-04,155,72,7226
2023-09-11,80,41,7267
2023-09-18,216,121,7388
2023-09-25,153,82,7470
2023-10-02,138,85,7555
2023-10-09,82,48,7603
2023-10-16,105,57,7660
2023-10-23,213,118,7778
2023-10-30,90,52,7830
2023-11-06,149,86,7916
2023-11-13,79,40,7956
2023-11-20,85,60,8016
2023-11-27,107,66,8082
2023-12-04,189,110,8192
2023-12-11,167,107,8299
2023-12-18,99,54,8353
2023-12-25,63,38,8391
2024-01-01,100,66,8457
2024-01-08,79,52,8509
2024-01-15,74,36,8545
2024-01-22,128,76,8621
2024-01-29,144,93,8714
2024-02-05,201,115,8829
2024-02-12,139,88,8917
