week,unique_users,new_users,cumulative_users
2021-10-26,97,97,97
2021-11-02,62,60,157
2021-11-09,61,58,215
2021-11-16,78,69,284
2021-11-23,79,71,355
2021-11-30,69,58,413
2021-12-07,63,54,467
2021-12-14,58,50,517
2021-12-21,35,32,549
2021-12-28,65,54,603
2022-01-04,68,56,659
2022-01-11,56,45,704
2022-01-18,88,73,777
2022-01-25,68,53,830
2022-02-01,101,80,910
2022-02-08,314,262,1172
2022-02-15,82,56,1228
2022-02-22,79,56,1284
2022-03-01,86,54,1338
2022-03-08,62,47,1385
2022-03-15,121,82,1467
2022-03-22,54,42,1509
2022-03-29,79,50,1559
2022-04-05,79,61,1620
2022-04-12,64,48,1668
2022-04-19,71,53,1721
2022-04-26,87,58,1779
2022-05-03,54,40,1819
2022-05-10,47,25,1844
2022-05-17,65,47,1891
2022-05-24,66,48,1939
2022-05-31,33,28,1967
2022-06-07,67,51,2018
2022-06-14,90,55,2073
2022-06-21,58,37,2110
2022-06-28,77,47,2157
2022-07-05,101,62,2219
2022-07-12,85,48,2267
2022-07-19,117,73,2340
2022-07-26,82,58,2398
2022-08-02,66,49,2447
2022-08-09,77,58,2505
2022-08-16,91,65,2570
2022-08-23,36,28,2598
2022-08-30,78,60,2658
2022-09-06,73,52,2710
2022-09-13,48,33,2743
2022-09-20,58,46,2789
2022-09-27,52,37,2826
2022-10-04,74,54,2880
2022-10-11,89,56,2936
2022-10-18,89,64,3000
2022-10-25,72,44,3044
2022-11-01,66,49,3093
2022-11-08,58,31,3124
2022-11-15,49,30,3154
2022-11-22,61,41,3195
2022-11-29,103,74,3269
2022-12-06,232,167,3436
2022-12-13,54,36,3472
2022-12-20,62,37,3509
2022-12-27,59,36,3545
2023-01-03,58,41,3586
2023-01-10,124,84,3670
2023-01-17,109,55,3725
2023-01-24,72,49,3774
2023-01-31,121,71,3845
2023-02-07,64,42,3887
2023-02-14,67,51,3938
2023-02-21,98,55,3993
2023-02-28,87,50,4043
2023-03-07,140,78,4121
2023-03-14,68,36,4157
2023-03-21,88,53,4210
2023-03-28,60,35,4245
2023-04-04,72,49,4294
2023-04-11,72,46,4340
2023-04-18,82,49,4389
2023-04-25,82,40,4429
2023-05-02,72,32,4461
2023-05-09,103,67,4528
2023-05-16,62,34,4562
2023-05-23,99,59,4621
2023-05-30,112,68,4689
2023-06-06,65,42,4731
2023-06-13,54,39,4770
2023-06-20,65,41,4811
2023-06-27,115,58,4869
2023-07-04,171,101,4970
2023-07-11,108,56,5026
2023-07-18,90,47,5073
2023-07-25,105,60,5133
2023-08-01,62,34,5167
2023-08-08,108,60,5227
2023-08-15,119,73,5300
2023-08-22,74,37,5337
2023-08-29,86,45,5382
2023-09-05,131,63,5445
2023-09-12,63,33,5478
2023-09-19,137,79,5557
2023-09-26,128,66,5623
2023-10-03,98,60,5683
2023-10-10,83,46,5729
2023-10-17,77,40,5769
2023-10-24,166,97,5866
2023-10-31,69,40,5906
2023-11-07,107,58,5964
2023-11-14,55,28,5992
2023-11-21,91,57,6049
2023-11-28,67,43,6092
2023-12-05,147,80,6172
2023-12-12,135,83,6255
2023-12-19,81,46,6301
2023-12-26,53,27,6328
2024-01-02,82,52,6380
2024-01-09,56,37,6417
2024-01-16,61,23,6440
2024-01-23,109,64,6504
2024-01-30,109,67,6571
2024-02-06,180,100,6671
2024-02-13,113,64,6735
2024-02-20,105,62,6797
2024-02-27,106,59,6856
2024-03-05,67,41,6897
2024-03-12,72,33,6930
2024-03-19,102,59,6989
2024-03-26,89,59,7048
2024-04-02,86,51,7099
2024-04-09,115,64,7163
2024-04-16,106,67,7230
2024-04-23,76,42,7272
2024-04-30,80,49,7321
2024-05-07,82,35,7356
2024-05-14,105,54,7410
2024-05-21,80,48,7458
2024-05-28,82,46,7504
2024-06-04,68,44,7548
2024-06-11,70,44,7592
2024-06-18,82,55,7647
2024-06-25,68,37,7684
2024-07-02,139,86,7770
2024-07-09,68,35,7805
2024-07-16,75,40,7845
2024-07-23,67,42,7887
2024-07-30,150,81,7968
2024-08-06,168,93,8061
2024-08-13,78,47,8108
2024-08-20,67,38,8146
2024-08-27,96,56,8202
2024-09-03,73,47,8249
2024-09-10,69,46,8295
2024-09-17,73,44,8339
2024-09-24,37,25,8364
2024-10-01,61,27,8391
2024-10-08,64,33,8424
2024-10-15,106,63,8487
2024-10-22,65,45,8532
2024-10-29,46,20,8552
2024-11-05,95,56,8608
2024-11-12,68,37,8645
2024-11-19,115,69,8714
2024-11-26,200,100,8814
2024-12-03,62,35,8849
2024-12-10,117,61,8910
2024-12-17,157,84,8994
2024-12-24,85,51,9045
2024-12-31,80,38,9083
2025-01-07,135,75,9158
2025-01-14,418,248,9406
2025-01-21,160,90,9496
2025-01-28,143,90,9586
2025-02-04,183,94,9680
2025-02-11,155,83,9763
2025-02-18,271,144,9907
2025-02-25,149,74,9981
2025-03-04,104,52,10033
2025-03-11,161,77,10110
2025-03-18,140,61,10171
2025-03-25,99,47,10218
2025-04-01,116,49,10267
2025-04-08,152,72,10339
2025-04-15,103,55,10394
2025-04-22,109,56,10450
2025-04-29,302,166,10616
2025-05-06,114,49,10665
2025-05-13,100,48,10713
2025-05-20,95,50,10763
2025-05-27,82,38,10801
2025-06-03,117,63,10864
2025-06-10,64,38,10902
2025-06-17,153,75,10977
2025-06-24,256,130,11107
2025-07-01,164,81,11188
2025-07-08,240,113,11301
2025-07-15,673,365,11666
2025-07-22,2678,1683,13349
2025-07-29,2926,1581,14930
2025-08-05,855,294,15224
2025-08-12,797,294,15518
2025-08-19,858,304,15822
2025-08-26,599,223,16045
2025-09-02,378,111,16156
2025-09-09,261,80,16236
2025-09-16,268,79,16315
2025-09-23,619,233,16548
2025-09-30,666,210,16758
2025-10-07,516,183,16941
2025-10-14,273,82,17023
2025-10-21,214,63,17086
