"k","milestone","group","rel_effect","p_value"
1,"Oct2023","vpn",100.326316503845,0.00101419878296146
1,"Oct2023","politics",212.307859430783,0.00101010101010101
1,"Mar2025","vpn",216.10132269821,0.0012853470437018
1,"Mar2025","politics",540.782908422368,0.0012853470437018
1,"Jul2025","vpn",413.150294839175,0.0012853470437018
1,"Jul2025","politics",882.848879713865,0.0012853470437018
2,"Oct2023","vpn",110.46258464365,0.00107991360691145
2,"Oct2023","politics",217.890489285618,0.00101010101010101
2,"Mar2025","vpn",258.91271862178,0.0012853470437018
2,"Mar2025","politics",547.177450241987,0.0012853470437018
2,"Jul2025","vpn",475.460677528898,0.0012853470437018
2,"Jul2025","politics",96.5008080764976,0.0012853470437018
3,"Oct2023","vpn",124.56598364313,0.00107991360691145
3,"Oct2023","politics",218.502868857321,0.00101010101010101
3,"Mar2025","vpn",275.306533356055,0.00130039011703511
3,"Mar2025","politics",545.802224489251,0.0012853470437018
3,"Jul2025","vpn",508.070758392648,0.0012853470437018
3,"Jul2025","politics",677.072759576236,0.0012853470437018
4,"Oct2023","vpn",131.728123708457,0.00101419878296146
4,"Oct2023","politics",218.225652619532,0.00101010101010101
4,"Mar2025","vpn",290.514621452128,0.0012853470437018
4,"Mar2025","politics",542.572435682902,0.0012853470437018
4,"Jul2025","vpn",541.827064225571,0.0012853470437018
4,"Jul2025","politics",891.948359206736,0.0012853470437018
5,"Oct2023","vpn",131.508172374399,0.00101419878296146
5,"Oct2023","politics",219.548355124401,0.00101010101010101
5,"Mar2025","vpn",294.607801100957,0.0012853470437018
5,"Mar2025","politics",538.068346377915,0.0012853470437018
5,"Jul2025","vpn",547.56443163782,0.0012853470437018
5,"Jul2025","politics",417.595513974202,0.0012853470437018
6,"Oct2023","vpn",133.988896740006,0.00101419878296146
6,"Oct2023","politics",217.864064279986,0.00101010101010101
6,"Mar2025","vpn",301.020188624514,0.0012853470437018
6,"Mar2025","politics",541.245812227252,0.0012853470437018
6,"Jul2025","vpn",558.388005973189,0.0012853470437018
6,"Jul2025","politics",-1020.86106921349,0.0012853470437018
7,"Oct2023","vpn",135.091529846759,0.00101419878296146
7,"Oct2023","politics",216.654520385861,0.00101010101010101
7,"Mar2025","vpn",302.990002282203,0.0012853470437018
7,"Mar2025","politics",537.044920786485,0.0012853470437018
7,"Jul2025","vpn",569.01686296704,0.0012853470437018
7,"Jul2025","politics",255.804255876755,0.0012853470437018
8,"Oct2023","vpn",132.476595757396,0.00101419878296146
8,"Oct2023","politics",216.038273093506,0.00101010101010101
8,"Mar2025","vpn",288.795212410281,0.0012853470437018
8,"Mar2025","politics",536.819062048233,0.0012853470437018
8,"Jul2025","vpn",546.67974403631,0.0012853470437018
8,"Jul2025","politics",1001.0521017272,0.0012853470437018
9,"Oct2023","vpn",131.98140107917,0.00101419878296146
9,"Oct2023","politics",216.611640564071,0.00101010101010101
9,"Mar2025","vpn",289.576638299659,0.0012853470437018
9,"Mar2025","politics",530.562525899693,0.0012853470437018
9,"Jul2025","vpn",564.480425790724,0.0012853470437018
9,"Jul2025","politics",830.117313562792,0.0012853470437018
10,"Oct2023","vpn",134.642638748516,0.00101419878296146
10,"Oct2023","politics",215.990562023805,0.00101010101010101
10,"Mar2025","vpn",291.738317816519,0.0012853470437018
10,"Mar2025","politics",529.03978733832,0.0012853470437018
10,"Jul2025","vpn",576.671349032034,0.0012853470437018
10,"Jul2025","politics",759.963597027765,0.0012853470437018
15,"Oct2023","vpn",151.287963279463,0.00107991360691145
15,"Oct2023","politics",221.455638504455,0.00101010101010101
15,"Mar2025","vpn",315.858520770987,0.0012853470437018
15,"Mar2025","politics",531.053750876747,0.0012853470437018
15,"Jul2025","vpn",613.218143164145,0.0012853470437018
15,"Jul2025","politics",711.62662484747,0.0012853470437018
20,"Oct2023","vpn",152.389206738184,0.00101419878296146
20,"Oct2023","politics",220.2976634151,0.00101010101010101
20,"Mar2025","vpn",325.599986773265,0.0012853470437018
20,"Mar2025","politics",521.64498577703,0.0012853470437018
20,"Jul2025","vpn",636.077090780352,0.0012853470437018
20,"Jul2025","politics",851.487932410337,0.0012853470437018
