group,filter,week,unique_users,new_users,cumulative_users
VPN,Unmatched (non-UK),2021-10-26,2317,2317,2317
VPN,Unmatched (non-UK),2021-11-02,2718,2078,4395
VPN,Unmatched (non-UK),2021-11-09,2733,1834,6229
VPN,Unmatched (non-UK),2021-11-16,2312,1393,7622
VPN,Unmatched (non-UK),2021-11-23,2625,1538,9160
VPN,Unmatched (non-UK),2021-11-30,2471,1352,10512
VPN,Unmatched (non-UK),2021-12-07,2407,1270,11782
VPN,Unmatched (non-UK),2021-12-14,2445,1245,13027
VPN,Unmatched (non-UK),2021-12-21,2739,1459,14486
VPN,Unmatched (non-UK),2021-12-28,2835,1436,15922
VPN,Unmatched (non-UK),2022-01-04,3030,1516,17438
VPN,Unmatched (non-UK),2022-01-11,2673,1297,18735
VPN,Unmatched (non-UK),2022-01-18,2792,1296,20031
VPN,Unmatched (non-UK),2022-01-25,2830,1313,21344
VPN,Unmatched (non-UK),2022-02-01,2592,1200,22544
VPN,Unmatched (non-UK),2022-02-08,2990,1340,23884
VPN,Unmatched (non-UK),2022-02-15,2666,1116,25000
VPN,Unmatched (non-UK),2022-02-22,2510,1048,26048
VPN,Unmatched (non-UK),2022-03-01,2512,1028,27076
VPN,Unmatched (non-UK),2022-03-08,2921,1291,28367
VPN,Unmatched (non-UK),2022-03-15,2603,1056,29423
VPN,Unmatched (non-UK),2022-03-22,2383,915,30338
VPN,Unmatched (non-UK),2022-03-29,2362,939,31277
VPN,Unmatched (non-UK),2022-04-05,2553,1042,32319
VPN,Unmatched (non-UK),2022-04-12,2691,1080,33399
VPN,Unmatched (non-UK),2022-04-19,2641,1059,34458
VPN,Unmatched (non-UK),2022-04-26,2556,1003,35461
VPN,Unmatched (non-UK),2022-05-03,2394,922,36383
VPN,Unmatched (non-UK),2022-05-10,2476,944,37327
VPN,Unmatched (non-UK),2022-05-17,2509,906,38233
VPN,Unmatched (non-UK),2022-05-24,2980,1141,39374
VPN,Unmatched (non-UK),2022-05-31,2867,1091,40465
VPN,Unmatched (non-UK),2022-06-07,2584,931,41396
VPN,Unmatched (non-UK),2022-06-14,2328,791,42187
VPN,Unmatched (non-UK),2022-06-21,2628,952,43139
VPN,Unmatched (non-UK),2022-06-28,2492,888,44027
VPN,Unmatched (non-UK),2022-07-05,2377,833,44860
VPN,Unmatched (non-UK),2022-07-12,2598,956,45816
VPN,Unmatched (non-UK),2022-07-19,2421,889,46705
VPN,Unmatched (non-UK),2022-07-26,2564,925,47630
VPN,Unmatched (non-UK),2022-08-02,2390,854,48484
VPN,Unmatched (non-UK),2022-08-09,2530,916,49400
VPN,Unmatched (non-UK),2022-08-16,2531,878,50278
VPN,Unmatched (non-UK),2022-08-23,2729,1013,51291
VPN,Unmatched (non-UK),2022-08-30,2839,1029,52320
VPN,Unmatched (non-UK),2022-09-06,2937,1030,53350
VPN,Unmatched (non-UK),2022-09-13,2644,952,54302
VPN,Unmatched (non-UK),2022-09-20,2600,922,55224
VPN,Unmatched (non-UK),2022-09-27,2543,901,56125
VPN,Unmatched (non-UK),2022-10-04,2547,873,56998
VPN,Unmatched (non-UK),2022-10-11,2764,943,57941
VPN,Unmatched (non-UK),2022-10-18,2854,1004,58945
VPN,Unmatched (non-UK),2022-10-25,2813,970,59915
VPN,Unmatched (non-UK),2022-11-01,2880,1027,60942
VPN,Unmatched (non-UK),2022-11-08,2695,938,61880
VPN,Unmatched (non-UK),2022-11-15,2606,900,62780
VPN,Unmatched (non-UK),2022-11-22,2891,1005,63785
VPN,Unmatched (non-UK),2022-11-29,2666,896,64681
VPN,Unmatched (non-UK),2022-12-06,2564,929,65610
VPN,Unmatched (non-UK),2022-12-13,2810,1049,66659
VPN,Unmatched (non-UK),2022-12-20,3122,1323,67982
VPN,Unmatched (non-UK),2022-12-27,2958,1023,69005
VPN,Unmatched (non-UK),2023-01-03,2735,966,69971
VPN,Unmatched (non-UK),2023-01-10,2389,788,70759
VPN,Unmatched (non-UK),2023-01-17,2786,987,71746
VPN,Unmatched (non-UK),2023-01-24,3051,1060,72806
VPN,Unmatched (non-UK),2023-01-31,2519,878,73684
VPN,Unmatched (non-UK),2023-02-07,2704,914,74598
VPN,Unmatched (non-UK),2023-02-14,2741,1010,75608
VPN,Unmatched (non-UK),2023-02-21,2722,953,76561
VPN,Unmatched (non-UK),2023-02-28,2602,872,77433
VPN,Unmatched (non-UK),2023-03-07,2471,804,78237
VPN,Unmatched (non-UK),2023-03-14,2449,837,79074
VPN,Unmatched (non-UK),2023-03-21,2502,827,79901
VPN,Unmatched (non-UK),2023-03-28,2845,1069,80970
VPN,Unmatched (non-UK),2023-04-04,2413,789,81759
VPN,Unmatched (non-UK),2023-04-11,2463,861,82620
VPN,Unmatched (non-UK),2023-04-18,2808,930,83550
VPN,Unmatched (non-UK),2023-04-25,2606,914,84464
VPN,Unmatched (non-UK),2023-05-02,2497,879,85343
VPN,Unmatched (non-UK),2023-05-09,2503,865,86208
VPN,Unmatched (non-UK),2023-05-16,2379,754,86962
VPN,Unmatched (non-UK),2023-05-23,2439,851,87813
VPN,Unmatched (non-UK),2023-05-30,2878,1008,88821
VPN,Unmatched (non-UK),2023-06-06,2694,974,89795
VPN,Unmatched (non-UK),2023-06-13,2468,974,90769
VPN,Unmatched (non-UK),2023-06-20,2042,772,91541
VPN,Unmatched (non-UK),2023-06-27,2274,903,92444
VPN,Unmatched (non-UK),2023-07-04,2178,838,93282
VPN,Unmatched (non-UK),2023-07-11,2249,866,94148
VPN,Unmatched (non-UK),2023-07-18,2092,809,94957
VPN,Unmatched (non-UK),2023-07-25,2001,764,95721
VPN,Unmatched (non-UK),2023-08-01,1951,783,96504
VPN,Unmatched (non-UK),2023-08-08,2142,848,97352
VPN,Unmatched (non-UK),2023-08-15,2194,919,98271
VPN,Unmatched (non-UK),2023-08-22,2184,861,99132
VPN,Unmatched (non-UK),2023-08-29,2245,935,100067
VPN,Unmatched (non-UK),2023-09-05,2385,926,100993
VPN,Unmatched (non-UK),2023-09-12,2140,824,101817
VPN,Unmatched (non-UK),2023-09-19,2219,841,102658
VPN,Unmatched (non-UK),2023-09-26,2092,799,103457
VPN,Unmatched (non-UK),2023-10-03,1314,495,103952
VPN,Unmatched (non-UK),2023-10-10,1320,549,104501
VPN,Unmatched (non-UK),2023-10-17,1455,565,105066
VPN,Unmatched (non-UK),2023-10-24,1379,538,105604
VPN,Unmatched (non-UK),2023-10-31,2144,861,106465
VPN,Unmatched (non-UK),2023-11-07,2280,858,107323
VPN,Unmatched (non-UK),2023-11-14,2347,865,108188
VPN,Unmatched (non-UK),2023-11-21,2471,955,109143
VPN,Unmatched (non-UK),2023-11-28,2468,910,110053
VPN,Unmatched (non-UK),2023-12-05,2572,859,110912
VPN,Unmatched (non-UK),2023-12-12,2406,855,111767
VPN,Unmatched (non-UK),2023-12-19,2493,907,112674
