group,filter,week,posts,comments,total
VPN,Unmatched (non-UK),2021-11-01,435,5895,6330
VPN,Unmatched (non-UK),2021-11-08,449,5650,6099
VPN,Unmatched (non-UK),2021-11-15,432,4646,5078
VPN,Unmatched (non-UK),2021-11-22,425,5356,5781
VPN,Unmatched (non-UK),2021-11-29,415,5383,5798
VPN,Unmatched (non-UK),2021-12-06,458,5181,5639
VPN,Unmatched (non-UK),2021-12-13,371,5241,5612
VPN,Unmatched (non-UK),2021-12-20,412,5816,6228
VPN,Unmatched (non-UK),2021-12-27,398,6516,6914
VPN,Unmatched (non-UK),2022-01-03,449,6697,7146
VPN,Unmatched (non-UK),2022-01-10,461,6023,6484
VPN,Unmatched (non-UK),2022-01-17,436,5911,6347
VPN,Unmatched (non-UK),2022-01-24,505,6046,6551
VPN,Unmatched (non-UK),2022-01-31,496,5928,6424
VPN,Unmatched (non-UK),2022-02-07,486,6333,6819
VPN,Unmatched (non-UK),2022-02-14,460,5919,6379
VPN,Unmatched (non-UK),2022-02-21,417,5449,5866
VPN,Unmatched (non-UK),2022-02-28,453,5435,5888
VPN,Unmatched (non-UK),2022-03-07,477,6052,6529
VPN,Unmatched (non-UK),2022-03-14,402,5837,6239
VPN,Unmatched (non-UK),2022-03-21,403,5493,5896
VPN,Unmatched (non-UK),2022-03-28,407,5051,5458
VPN,Unmatched (non-UK),2022-04-04,468,5232,5700
VPN,Unmatched (non-UK),2022-04-11,466,5414,5880
VPN,Unmatched (non-UK),2022-04-18,438,6084,6522
VPN,Unmatched (non-UK),2022-04-25,483,5053,5536
VPN,Unmatched (non-UK),2022-05-02,419,4871,5290
VPN,Unmatched (non-UK),2022-05-09,389,4804,5193
VPN,Unmatched (non-UK),2022-05-16,465,5517,5982
VPN,Unmatched (non-UK),2022-05-23,481,6356,6837
VPN,Unmatched (non-UK),2022-05-30,467,6299,6766
VPN,Unmatched (non-UK),2022-06-06,447,6133,6580
VPN,Unmatched (non-UK),2022-06-13,425,5266,5691
VPN,Unmatched (non-UK),2022-06-20,492,5579,6071
VPN,Unmatched (non-UK),2022-06-27,463,5686,6149
VPN,Unmatched (non-UK),2022-07-04,432,5359,5791
VPN,Unmatched (non-UK),2022-07-11,440,5684,6124
VPN,Unmatched (non-UK),2022-07-18,510,5478,5988
VPN,Unmatched (non-UK),2022-07-25,412,5581,5993
VPN,Unmatched (non-UK),2022-08-01,447,5285,5732
VPN,Unmatched (non-UK),2022-08-08,456,5834,6290
VPN,Unmatched (non-UK),2022-08-15,432,5592,6024
VPN,Unmatched (non-UK),2022-08-22,465,6135,6600
VPN,Unmatched (non-UK),2022-08-29,430,6638,7068
VPN,Unmatched (non-UK),2022-09-05,417,6384,6801
VPN,Unmatched (non-UK),2022-09-12,450,5635,6085
VPN,Unmatched (non-UK),2022-09-19,458,5756,6214
VPN,Unmatched (non-UK),2022-09-26,418,5367,5785
VPN,Unmatched (non-UK),2022-10-03,394,5194,5588
VPN,Unmatched (non-UK),2022-10-10,442,5662,6104
VPN,Unmatched (non-UK),2022-10-17,393,5955,6348
VPN,Unmatched (non-UK),2022-10-24,421,6094,6515
VPN,Unmatched (non-UK),2022-10-31,378,5786,6164
VPN,Unmatched (non-UK),2022-11-07,367,5555,5922
VPN,Unmatched (non-UK),2022-11-14,436,5106,5542
VPN,Unmatched (non-UK),2022-11-21,403,5601,6004
VPN,Unmatched (non-UK),2022-11-28,435,6158,6593
VPN,Unmatched (non-UK),2022-12-05,433,5364,5797
VPN,Unmatched (non-UK),2022-12-12,443,5854,6297
VPN,Unmatched (non-UK),2022-12-19,768,5630,6398
VPN,Unmatched (non-UK),2022-12-26,385,6358,6743
VPN,Unmatched (non-UK),2023-01-02,433,5693,6126
VPN,Unmatched (non-UK),2023-01-09,392,5423,5815
VPN,Unmatched (non-UK),2023-01-16,410,5695,6105
VPN,Unmatched (non-UK),2023-01-23,483,6783,7266
VPN,Unmatched (non-UK),2023-01-30,421,5371,5792
VPN,Unmatched (non-UK),2023-02-06,426,6074,6500
VPN,Unmatched (non-UK),2023-02-13,465,5893,6358
VPN,Unmatched (non-UK),2023-02-20,461,6113,6574
VPN,Unmatched (non-UK),2023-02-27,383,5782,6165
VPN,Unmatched (non-UK),2023-03-06,392,5338,5730
VPN,Unmatched (non-UK),2023-03-13,401,5125,5526
VPN,Unmatched (non-UK),2023-03-20,395,5118,5513
VPN,Unmatched (non-UK),2023-03-27,418,6260,6678
VPN,Unmatched (non-UK),2023-04-03,334,5010,5344
VPN,Unmatched (non-UK),2023-04-10,336,5029,5365
VPN,Unmatched (non-UK),2023-04-17,320,5669,5989
VPN,Unmatched (non-UK),2023-04-24,375,5674,6049
VPN,Unmatched (non-UK),2023-05-01,329,5643,5972
VPN,Unmatched (non-UK),2023-05-08,311,4859,5170
VPN,Unmatched (non-UK),2023-05-15,355,4675,5030
VPN,Unmatched (non-UK),2023-05-22,356,4846,5202
VPN,Unmatched (non-UK),2023-05-29,394,6032,6426
VPN,Unmatched (non-UK),2023-06-05,498,5933,6431
VPN,Unmatched (non-UK),2023-06-12,388,4072,4460
VPN,Unmatched (non-UK),2023-06-19,498,4074,4572
VPN,Unmatched (non-UK),2023-06-26,537,4336,4873
VPN,Unmatched (non-UK),2023-07-03,570,3970,4540
VPN,Unmatched (non-UK),2023-07-10,607,4615,5222
VPN,Unmatched (non-UK),2023-07-17,722,3886,4608
VPN,Unmatched (non-UK),2023-07-24,582,4132,4714
VPN,Unmatched (non-UK),2023-07-31,545,3612,4157
VPN,Unmatched (non-UK),2023-08-07,455,4380,4835
VPN,Unmatched (non-UK),2023-08-14,485,4217,4702
VPN,Unmatched (non-UK),2023-08-21,474,4055,4529
VPN,Unmatched (non-UK),2023-08-28,459,4064,4523
VPN,Unmatched (non-UK),2023-09-04,500,4704,5204
VPN,Unmatched (non-UK),2023-09-11,451,4331,4782
VPN,Unmatched (non-UK),2023-09-18,439,4460,4899
VPN,Unmatched (non-UK),2023-09-25,425,4397,4822
VPN,Unmatched (non-UK),2023-10-02,228,2336,2564
VPN,Unmatched (non-UK),2023-10-09,205,2048,2253
VPN,Unmatched (non-UK),2023-10-16,213,2244,2457
VPN,Unmatched (non-UK),2023-10-23,221,2402,2623
VPN,Unmatched (non-UK),2023-10-30,343,3579,3922
VPN,Unmatched (non-UK),2023-11-06,366,4573,4939
VPN,Unmatched (non-UK),2023-11-13,377,4770,5147
VPN,Unmatched (non-UK),2023-11-20,431,4427,4858
VPN,Unmatched (non-UK),2023-11-27,501,5047,5548
VPN,Unmatched (non-UK),2023-12-04,472,5464,5936
VPN,Unmatched (non-UK),2023-12-11,427,4879,5306
VPN,Unmatched (non-UK),2023-12-18,445,4873,5318
VPN,Unmatched (non-UK),2023-12-25,408,4941,5349
VPN,Unmatched (non-UK),2024-01-01,466,5241,5707
VPN,Unmatched (non-UK),2024-01-08,477,5038,5515
VPN,Unmatched (non-UK),2024-01-15,437,5018,5455
VPN,Unmatched (non-UK),2024-01-22,484,5773,6257
VPN,Unmatched (non-UK),2024-01-29,447,5867,6314
VPN,Unmatched (non-UK),2024-02-05,478,5872,6350
VPN,Unmatched (non-UK),2024-02-12,448,5903,6351
VPN,Unmatched (non-UK),2024-02-19,510,6595,7105
VPN,Unmatched (non-UK),2024-02-26,515,5860,6375
VPN,Unmatched (non-UK),2024-03-04,514,5340,5854
VPN,Unmatched (non-UK),2024-03-11,460,5505,5965
VPN,Unmatched (non-UK),2024-03-18,515,5323,5838
VPN,Unmatched (non-UK),2024-03-25,528,5725,6253
VPN,Unmatched (non-UK),2024-04-01,498,5854,6352
VPN,Unmatched (non-UK),2024-04-08,509,6307,6816
VPN,Unmatched (non-UK),2024-04-15,487,6664,7151
VPN,Unmatched (non-UK),2024-04-22,488,6112,6600
VPN,Unmatched (non-UK),2024-04-29,439,5096,5535
VPN,Unmatched (non-UK),2024-05-06,510,5317,5827
VPN,Unmatched (non-UK),2024-05-13,492,5328,5820
VPN,Unmatched (non-UK),2024-05-20,478,6577,7055
VPN,Unmatched (non-UK),2024-05-27,506,5868,6374
VPN,Unmatched (non-UK),2024-06-03,519,5634,6153
VPN,Unmatched (non-UK),2024-06-10,562,6209,6771
VPN,Unmatched (non-UK),2024-06-17,467,5917,6384
VPN,Unmatched (non-UK),2024-06-24,520,6307,6827
VPN,Unmatched (non-UK),2024-07-01,522,6466,6988
VPN,Unmatched (non-UK),2024-07-08,496,5717,6213
VPN,Unmatched (non-UK),2024-07-15,500,6446,6946
VPN,Unmatched (non-UK),2024-07-22,528,6098,6626
