"group","definition","k","milestone","relative_effect_pct","p_value"
"VPN","Raw",1,"Oct2023",-6.6,0.1162
"VPN","Raw",1,"Mar2025",-16,0.0063
"VPN","Raw",1,"Jul2025",143.7,0.0014
"VPN","Raw",2,"Oct2023",3.9,0.316
"VPN","Raw",2,"Mar2025",-12.9,0.0665
"VPN","Raw",2,"Jul2025",226.3,0.0014
"VPN","Raw",3,"Oct2023",5.3,0.2795
"VPN","Raw",3,"Mar2025",-12,0.0806
"VPN","Raw",3,"Jul2025",267.5,0.0013
"VPN","Raw",4,"Oct2023",27.7,0.0041
"VPN","Raw",4,"Mar2025",-20.7,0.0158
"VPN","Raw",4,"Jul2025",272.5,0.0013
"VPN","Raw",5,"Oct2023",41.9,0.001
"VPN","Raw",5,"Mar2025",-17.1,0.0253
"VPN","Raw",5,"Jul2025",327.3,0.0014
"VPN","Classified",1,"Oct2023",-15,0.203
"VPN","Classified",1,"Mar2025",-14.1,0.1976
"VPN","Classified",1,"Jul2025",1252.4,0.0011
"VPN","Classified",2,"Oct2023",0.6,0.3456
"VPN","Classified",2,"Mar2025",-20.8,0.1348
"VPN","Classified",2,"Jul2025",2079.6,0.0011
"VPN","Classified",3,"Oct2023",14.6,0.3875
"VPN","Classified",3,"Mar2025",-190.7,0.2584
"VPN","Classified",3,"Jul2025",2452.1,0.0011
"VPN","Classified",4,"Oct2023",81.7,0.4847
"VPN","Classified",4,"Mar2025",28.8,0.3789
"VPN","Classified",4,"Jul2025",3410.1,0.0011
"VPN","Classified",5,"Oct2023",80.3,0.3272
"VPN","Classified",5,"Mar2025",-26.4,0.2606
"VPN","Classified",5,"Jul2025",3829.3,0.0011
"Politics","Raw",1,"Oct2023",-8.3,0.046
"Politics","Raw",1,"Mar2025",-1.8,0.3318
"Politics","Raw",1,"Jul2025",-4.1,0.1691
"Politics","Raw",2,"Oct2023",-4.8,0.1708
"Politics","Raw",2,"Mar2025",-0.2,0.464
"Politics","Raw",2,"Jul2025",-4.7,0.1331
"Politics","Raw",3,"Oct2023",-1.7,0.3603
"Politics","Raw",3,"Mar2025",2.3,0.3052
"Politics","Raw",3,"Jul2025",-6.3,0.0585
"Politics","Raw",4,"Oct2023",0.5,0.4882
"Politics","Raw",4,"Mar2025",-3.1,0.2635
"Politics","Raw",4,"Jul2025",-12.1,0.019
"Politics","Raw",5,"Oct2023",3.3,0.324
"Politics","Raw",5,"Mar2025",-2.7,0.2944
"Politics","Raw",5,"Jul2025",-12.3,0.0133
"Politics","Classified",1,"Oct2023",27.1,0.1209
"Politics","Classified",1,"Mar2025",61.2,0.0081
"Politics","Classified",1,"Jul2025",1434.3,0.0013
"Politics","Classified",2,"Oct2023",26.4,0.137
"Politics","Classified",2,"Mar2025",61.5,0.0076
"Politics","Classified",2,"Jul2025",1461.8,0.0013
"Politics","Classified",3,"Oct2023",30.1,0.0961
"Politics","Classified",3,"Mar2025",59.9,0.0141
"Politics","Classified",3,"Jul2025",1424.7,0.0013
"Politics","Classified",4,"Oct2023",36.7,0.0665
"Politics","Classified",4,"Mar2025",65.3,0.0098
"Politics","Classified",4,"Jul2025",1332.2,0.0013
"Politics","Classified",5,"Oct2023",46.4,0.0327
"Politics","Classified",5,"Mar2025",58.6,0.0196
"Politics","Classified",5,"Jul2025",1324.8,0.0013
