group,definition,k,week,posts,comments,total
VPN,Raw,1,2021-11-01,39,570,609
VPN,Raw,2,2021-11-01,17,213,230
VPN,Raw,3,2021-11-01,12,123,135
VPN,Raw,4,2021-11-01,6,73,79
VPN,Raw,5,2021-11-01,4,57,61
VPN,Raw,1,2021-11-08,52,490,542
VPN,Raw,2,2021-11-08,17,149,166
VPN,Raw,3,2021-11-08,8,93,101
VPN,Raw,4,2021-11-08,5,53,58
VPN,Raw,5,2021-11-08,4,32,36
VPN,Raw,1,2021-11-15,39,417,456
VPN,Raw,2,2021-11-15,14,139,153
VPN,Raw,3,2021-11-15,11,89,100
VPN,Raw,4,2021-11-15,7,49,56
VPN,Raw,5,2021-11-15,6,29,35
VPN,Raw,1,2021-11-22,51,475,526
VPN,Raw,2,2021-11-22,26,183,209
VPN,Raw,3,2021-11-22,12,106,118
VPN,Raw,4,2021-11-22,9,59,68
VPN,Raw,5,2021-11-22,6,40,46
VPN,Raw,1,2021-11-29,34,502,536
VPN,Raw,2,2021-11-29,15,194,209
VPN,Raw,3,2021-11-29,7,106,113
VPN,Raw,4,2021-11-29,4,75,79
VPN,Raw,5,2021-11-29,3,49,52
VPN,Raw,1,2021-12-06,53,441,494
VPN,Raw,2,2021-12-06,19,147,166
VPN,Raw,3,2021-12-06,12,88,100
VPN,Raw,4,2021-12-06,5,41,46
VPN,Raw,5,2021-12-06,3,22,25
VPN,Raw,1,2021-12-13,48,541,589
VPN,Raw,2,2021-12-13,18,165,183
VPN,Raw,3,2021-12-13,10,97,107
VPN,Raw,4,2021-12-13,5,64,69
VPN,Raw,5,2021-12-13,2,40,42
VPN,Raw,1,2021-12-20,36,608,644
VPN,Raw,2,2021-12-20,16,167,183
VPN,Raw,3,2021-12-20,9,69,78
VPN,Raw,4,2021-12-20,7,43,50
VPN,Raw,5,2021-12-20,6,25,31
VPN,Raw,1,2021-12-27,44,527,571
VPN,Raw,2,2021-12-27,20,187,207
VPN,Raw,3,2021-12-27,9,104,113
VPN,Raw,4,2021-12-27,7,57,64
VPN,Raw,5,2021-12-27,3,45,48
VPN,Raw,1,2022-01-03,54,714,768
VPN,Raw,2,2022-01-03,19,270,289
VPN,Raw,3,2022-01-03,10,129,139
VPN,Raw,4,2022-01-03,6,77,83
VPN,Raw,5,2022-01-03,3,51,54
VPN,Raw,1,2022-01-10,55,651,706
VPN,Raw,2,2022-01-10,13,199,212
VPN,Raw,3,2022-01-10,8,111,119
VPN,Raw,4,2022-01-10,4,66,70
VPN,Raw,5,2022-01-10,4,38,42
VPN,Raw,1,2022-01-17,62,817,879
VPN,Raw,2,2022-01-17,20,259,279
VPN,Raw,3,2022-01-17,8,156,164
VPN,Raw,4,2022-01-17,5,103,108
VPN,Raw,5,2022-01-17,4,75,79
VPN,Raw,1,2022-01-24,44,531,575
VPN,Raw,2,2022-01-24,21,161,182
VPN,Raw,3,2022-01-24,16,83,99
VPN,Raw,4,2022-01-24,8,38,46
VPN,Raw,5,2022-01-24,6,31,37
VPN,Raw,1,2022-01-31,60,626,686
VPN,Raw,2,2022-01-31,25,174,199
VPN,Raw,3,2022-01-31,12,90,102
