"group","milestone","ours","paper","p_value","diff"
"VPN Classified","Oct2023",-28.1,-20,0.0122,-8.1
"VPN Classified","Mar2025",-15.6,-12,0.0871,-3.6
"VPN Classified","Jul2025",321.8,328,0.0011,-6.19999999999999
"VPN Cls. (UK)","Oct2023",-4.2,-16,0.3252,11.8
"VPN Cls. (UK)","Mar2025",-3.4,-16,0.3515,12.6
"VPN Cls. (UK)","Jul2025",647.4,1265,0.0013,-617.6
"Politics Classified","Oct2023",13.3,25,0.273,-11.7
"Politics Classified","Mar2025",64.9,65,0.0041,-0.0999999999999943
"Politics Classified","Jul2025",1402.4,1474,0.0013,-71.5999999999999
"Politics Cls. (UK)","Oct2023",27.4,27,0.1189,0.399999999999999
"Politics Cls. (UK)","Mar2025",61.4,60,0.0081,1.4
"Politics Cls. (UK)","Jul2025",1434.1,1481,0.0013,-46.9000000000001
