week,posts,comments,total,period
2021-11-01,8,58,66,pre
2021-11-08,4,59,63,pre
2021-11-15,9,50,59,pre
2021-11-22,6,42,48,pre
2021-11-29,2,48,50,pre
2021-12-06,8,52,60,pre
2021-12-13,5,52,57,pre
2021-12-20,4,35,39,pre
2021-12-27,2,42,44,pre
2022-01-03,9,32,41,pre
2022-01-10,9,47,56,pre
2022-01-17,10,104,114,pre
2022-01-24,7,145,152,pre
2022-01-31,9,45,54,pre
2022-02-07,5,46,51,pre
2022-02-14,10,117,127,pre
2022-02-21,12,67,79,pre
2022-02-28,9,85,94,pre
2022-03-07,14,87,101,pre
2022-03-14,17,99,116,pre
2022-03-21,8,61,69,pre
2022-03-28,8,79,87,pre
2022-04-04,10,37,47,pre
2022-04-11,11,43,54,pre
2022-04-18,15,55,70,pre
2022-04-25,14,78,92,pre
2022-05-02,7,52,59,pre
2022-05-09,20,103,123,pre
2022-05-16,5,72,77,pre
2022-05-23,10,81,91,pre
2022-05-30,7,72,79,pre
2022-06-06,16,60,76,pre
2022-06-13,11,73,84,pre
2022-06-20,5,67,72,pre
2022-06-27,11,66,77,pre
2022-07-04,9,69,78,pre
2022-07-11,5,58,63,pre
2022-07-18,8,47,55,pre
2022-07-25,12,75,87,pre
2022-08-01,12,59,71,pre
2022-08-08,8,45,53,pre
2022-08-15,10,44,54,pre
2022-08-22,15,71,86,pre
2022-08-29,8,73,81,pre
2022-09-05,9,57,66,pre
2022-09-12,15,69,84,pre
2022-09-19,15,51,66,pre
2022-09-26,13,107,120,pre
2022-10-03,21,81,102,pre
2022-10-10,15,66,81,pre
2022-10-17,21,106,127,pre
2022-10-24,20,79,99,pre
2022-10-31,17,65,82,pre
2022-11-07,11,59,70,pre
2022-11-14,12,79,91,pre
2022-11-21,9,71,80,pre
2022-11-28,19,72,91,pre
2022-12-05,15,65,80,pre
2022-12-12,19,92,111,pre
2022-12-19,18,71,89,pre
2022-12-26,13,72,85,pre
2023-01-02,9,58,67,pre
2023-01-09,7,93,100,pre
2023-01-16,9,49,58,pre
2023-01-23,9,58,67,pre
2023-01-30,11,67,78,pre
2023-02-06,10,71,81,pre
2023-02-13,7,111,118,pre
2023-02-20,8,69,77,pre
2023-02-27,10,75,85,pre
2023-03-06,13,61,74,pre
2023-03-13,12,103,115,pre
2023-03-20,15,55,70,pre
2023-03-27,10,39,49,pre
2023-04-03,15,160,175,pre
