week,posts,comments,total,period
2021-11-01,1,6,7,pre
2021-11-08,2,8,10,pre
2021-11-15,1,3,4,pre
2021-11-22,2,9,11,pre
2021-11-29,1,8,9,pre
2021-12-06,0,10,10,pre
2021-12-13,2,15,17,pre
2021-12-20,1,21,22,pre
2021-12-27,1,9,10,pre
2022-01-03,0,7,7,pre
2022-01-10,4,27,31,pre
2022-01-17,6,31,37,pre
2022-01-24,5,9,14,pre
2022-01-31,5,18,23,pre
2022-02-07,6,13,19,pre
2022-02-14,4,17,21,pre
2022-02-21,0,9,9,pre
2022-02-28,1,13,14,pre
2022-03-07,2,17,19,pre
2022-03-14,1,21,22,pre
2022-03-21,1,9,10,pre
2022-03-28,2,11,13,pre
2022-04-04,1,15,16,pre
2022-04-11,5,11,16,pre
2022-04-18,1,12,13,pre
2022-04-25,0,11,11,pre
2022-05-02,4,19,23,pre
2022-05-09,2,9,11,pre
2022-05-16,2,8,10,pre
2022-05-23,3,15,18,pre
2022-05-30,3,20,23,pre
2022-06-06,0,21,21,pre
2022-06-13,0,18,18,pre
2022-06-20,3,10,13,pre
2022-06-27,2,12,14,pre
2022-07-04,2,10,12,pre
2022-07-11,2,11,13,pre
2022-07-18,4,7,11,pre
2022-07-25,4,20,24,pre
2022-08-01,3,16,19,pre
2022-08-08,3,13,16,pre
2022-08-15,2,22,24,pre
2022-08-22,5,18,23,pre
2022-08-29,3,17,20,pre
2022-09-05,8,21,29,pre
2022-09-12,0,14,14,pre
2022-09-19,2,15,17,pre
2022-09-26,4,21,25,pre
2022-10-03,3,20,23,pre
2022-10-10,1,16,17,pre
2022-10-17,2,10,12,pre
2022-10-24,0,14,14,pre
2022-10-31,1,12,13,pre
2022-11-07,1,16,17,pre
2022-11-14,0,5,5,pre
2022-11-21,7,8,15,pre
2022-11-28,0,17,17,pre
2022-12-05,3,17,20,pre
2022-12-12,6,16,22,pre
2022-12-19,3,11,14,pre
2022-12-26,1,15,16,pre
2023-01-02,2,16,18,pre
2023-01-09,3,8,11,pre
2023-01-16,4,10,14,pre
2023-01-23,3,5,8,pre
2023-01-30,1,13,14,pre
2023-02-06,2,24,26,pre
2023-02-13,3,11,14,pre
2023-02-20,1,16,17,pre
2023-02-27,2,12,14,pre
2023-03-06,4,22,26,pre
2023-03-13,3,18,21,pre
2023-03-20,4,13,17,pre
2023-03-27,3,12,15,pre
2023-04-03,3,8,11,pre
2023-04-10,1,15,16,pre
2023-04-17,3,14,17,pre
2023-04-24,3,23,26,pre
2023-05-01,4,32,36,pre
2023-05-08,2,22,24,pre
2023-05-15,3,15,18,pre
2023-05-22,3,29,32,pre
2023-05-29,1,10,11,pre
2023-06-05,5,12,17,pre
2023-06-12,6,17,23,pre
2023-06-19,3,11,14,pre
2023-06-26,5,15,20,pre
2023-07-03,5,19,24,pre
2023-07-10,3,7,10,pre
2023-07-17,6,14,20,pre
2023-07-24,4,30,34,pre
2023-07-31,6,15,21,pre
2023-08-07,5,23,28,pre
2023-08-14,2,12,14,pre
2023-08-21,3,14,17,pre
2023-08-28,2,11,13,pre
2023-09-04,3,19,22,pre
2023-09-11,3,9,12,pre
2023-09-18,4,10,14,pre
2023-09-25,4,14,18,pre
2023-10-02,2,4,6,pre
2023-10-09,0,14,14,pre
2023-10-16,0,5,5,pre
2023-10-23,4,12,16,pre
2023-10-30,2,9,11,post
2023-11-06,3,10,13,post
2023-11-13,6,14,20,post
2023-11-20,3,15,18,post
2023-11-27,1,13,14,post
2023-12-04,2,20,22,post
2023-12-11,1,13,14,post
2023-12-18,1,23,24,post
2023-12-25,0,17,17,post
2024-01-01,3,18,21,post
2024-01-08,4,11,15,post
2024-01-15,2,14,16,post
2024-01-22,3,24,27,post
2024-01-29,3,11,14,post
2024-02-05,3,22,25,post
2024-02-12,6,29,35,post
2024-02-19,1,28,29,post
2024-02-26,4,22,26,post
2024-03-04,4,16,20,post
2024-03-11,3,15,18,post
2024-03-18,0,13,13,post
2024-03-25,2,9,11,post
2024-04-01,6,12,18,post
2024-04-08,2,13,15,post
2024-04-15,1,15,16,post
2024-04-22,4,6,10,post
2024-04-29,3,13,16,post
2024-05-06,5,15,20,post
2024-05-13,2,8,10,post
2024-05-20,4,7,11,post
2024-05-27,4,17,21,post
2024-06-03,2,10,12,post
2024-06-10,4,10,14,post
2024-06-17,3,19,22,post
2024-06-24,5,18,23,post
2024-07-01,3,45,48,post
2024-07-08,3,8,11,post
2024-07-15,1,12,13,post
2024-07-22,1,19,20,post
2024-07-29,3,12,15,post
2024-08-05,4,8,12,post
2024-08-12,2,29,31,post
2024-08-19,4,21,25,post
2024-08-26,3,17,20,post
2024-09-02,3,19,22,post
2024-09-09,5,17,22,post
2024-09-16,4,27,31,post
2024-09-23,5,23,28,post
2024-09-30,1,18,19,post
2024-10-07,3,12,15,post
2024-10-14,2,18,20,post
2024-10-21,1,17,18,post
2024-10-28,6,11,17,post
2024-11-04,4,14,18,post
2024-11-11,3,10,13,post
2024-11-18,2,15,17,post
2024-11-25,2,22,24,post
2024-12-02,1,15,16,post
2024-12-09,3,32,35,post
2024-12-16,6,14,20,post
2024-12-23,3,19,22,post
2024-12-30,5,23,28,post
2025-01-06,5,13,18,post
2025-01-13,5,43,48,post
2025-01-20,5,24,29,post
2025-01-27,8,22,30,post
2025-02-03,2,34,36,post
2025-02-10,3,17,20,post
2025-02-17,1,54,55,post
2025-02-24,5,34,39,post
2025-03-03,4,18,22,post
2025-03-10,1,15,16,post
2025-03-17,6,14,20,post
2025-03-24,4,18,22,post
2025-03-31,6,18,24,post
2025-04-07,2,16,18,post
2025-04-14,1,21,22,post
2025-04-21,2,15,17,post
2025-04-28,2,17,19,post
2025-05-05,1,8,9,post
2025-05-12,4,14,18,post
2025-05-19,5,13,18,post
2025-05-26,5,13,18,post
2025-06-02,4,38,42,post
2025-06-09,1,14,15,post
2025-06-16,4,21,25,post
2025-06-23,4,19,23,post
2025-06-30,3,18,21,post
2025-07-07,3,20,23,post
2025-07-14,3,37,40,post
2025-07-21,20,108,128,post
2025-07-28,32,282,314,post
2025-08-04,21,142,163,post
2025-08-11,15,162,177,post
2025-08-18,19,198,217,post
2025-08-25,6,73,79,post
2025-09-01,4,49,53,post
2025-09-08,7,69,76,post
2025-09-15,8,62,70,post
2025-09-22,11,67,78,post
2025-09-29,13,53,66,post
2025-10-06,7,36,43,post
2025-10-13,3,57,60,post
2025-10-20,5,50,55,post
