week,unique_users,new_users,cumulative_users
2021-11-01,7,7,7
2021-11-08,10,9,16
2021-11-15,4,3,19
2021-11-22,11,11,30
2021-11-29,9,9,39
2021-12-06,11,10,49
2021-12-13,12,12,61
2021-12-20,15,11,72
2021-12-27,9,8,80
2022-01-03,6,6,86
2022-01-10,19,17,103
2022-01-17,33,24,127
2022-01-24,11,9,136
2022-01-31,19,17,153
2022-02-07,19,14,167
2022-02-14,19,13,180
2022-02-21,9,6,186
2022-02-28,13,10,196
2022-03-07,19,14,210
2022-03-14,12,6,216
2022-03-21,10,9,225
2022-03-28,12,9,234
2022-04-04,12,7,241
2022-04-11,12,10,251
2022-04-18,12,8,259
2022-04-25,11,8,267
2022-05-02,17,14,281
2022-05-09,9,4,285
2022-05-16,9,7,292
2022-05-23,15,10,302
2022-05-30,19,11,313
2022-06-06,17,8,321
2022-06-13,13,7,328
2022-06-20,9,7,335
2022-06-27,14,8,343
2022-07-04,12,8,351
2022-07-11,10,5,356
2022-07-18,11,6,362
2022-07-25,15,10,372
2022-08-01,17,10,382
2022-08-08,15,8,390
2022-08-15,23,11,401
2022-08-22,16,11,412
2022-08-29,17,10,422
2022-09-05,23,14,436
2022-09-12,14,9,445
2022-09-19,16,10,455
2022-09-26,20,9,464
2022-10-03,23,9,473
2022-10-10,14,7,480
2022-10-17,11,4,484
2022-10-24,13,6,490
2022-10-31,12,7,497
2022-11-07,16,10,507
2022-11-14,4,2,509
2022-11-21,13,5,514
2022-11-28,12,8,522
2022-12-05,18,14,536
2022-12-12,18,12,548
2022-12-19,13,8,556
2022-12-26,16,10,566
2023-01-02,13,6,572
2023-01-09,9,8,580
2023-01-16,13,9,589
2023-01-23,8,4,593
2023-01-30,14,9,602
2023-02-06,19,9,611
2023-02-13,13,7,618
2023-02-20,15,5,623
2023-02-27,13,10,633
2023-03-06,21,14,647
2023-03-13,15,9,656
2023-03-20,14,8,664
2023-03-27,13,6,670
2023-04-03,11,9,679
2023-04-10,15,12,691
2023-04-17,14,8,699
2023-04-24,24,13,712
2023-05-01,24,18,730
2023-05-08,18,10,740
2023-05-15,18,8,748
2023-05-22,26,10,758
2023-05-29,11,6,764
2023-06-05,15,10,774
2023-06-12,17,11,785
2023-06-19,14,7,792
2023-06-26,18,11,803
2023-07-03,17,13,816
2023-07-10,9,7,823
2023-07-17,17,14,837
