week,unique_users,new_users,cumulative_users
2021-10-26,2,2,2
2021-11-02,2,2,4
2021-11-09,2,2,6
2021-11-16,2,2,8
2021-11-23,5,5,13
2021-11-30,3,3,16
2021-12-07,5,5,21
2021-12-14,6,6,27
2021-12-21,8,8,35
2021-12-28,2,2,37
2022-01-04,2,2,39
2022-01-11,13,11,50
2022-01-18,18,16,66
2022-01-25,4,4,70
2022-02-01,5,5,75
2022-02-08,5,5,80
2022-02-15,8,3,83
2022-02-22,3,3,86
2022-03-01,10,9,95
2022-03-08,8,7,102
2022-03-15,6,5,107
2022-03-22,5,5,112
2022-03-29,4,3,115
2022-04-05,4,3,118
2022-04-12,4,2,120
2022-04-19,5,5,125
2022-04-26,1,0,125
2022-05-03,11,10,135
2022-05-10,6,5,140
2022-05-17,4,4,144
2022-05-24,7,3,147
2022-05-31,2,1,148
2022-06-07,6,5,153
2022-06-14,7,4,157
2022-06-21,3,2,159
2022-06-28,2,1,160
2022-07-05,6,5,165
2022-07-12,3,1,166
2022-07-19,7,4,170
2022-07-26,9,6,176
2022-08-02,2,1,177
2022-08-09,9,5,182
2022-08-16,11,7,189
2022-08-23,6,5,194
2022-08-30,10,8,202
2022-09-06,10,7,209
2022-09-13,2,1,210
2022-09-20,6,5,215
2022-09-27,7,4,219
2022-10-04,6,5,224
2022-10-11,6,3,227
2022-10-18,3,1,228
2022-10-25,4,4,232
2022-11-01,4,2,234
2022-11-08,10,6,240
2022-11-15,1,1,241
2022-11-22,3,1,242
2022-11-29,3,3,245
2022-12-06,5,4,249
2022-12-13,7,4,253
2022-12-20,3,3,256
2022-12-27,6,5,261
2023-01-03,4,2,263
2023-01-10,3,3,266
2023-01-17,4,3,269
2023-01-24,3,1,270
2023-01-31,13,11,281
2023-02-07,7,5,286
2023-02-14,5,5,291
2023-02-21,9,1,292
2023-02-28,7,4,296
2023-03-07,11,9,305
2023-03-14,3,2,307
2023-03-21,6,5,312
2023-03-28,6,4,316
2023-04-04,3,3,319
2023-04-11,7,7,326
2023-04-18,7,3,329
2023-04-25,6,4,333
2023-05-02,16,12,345
2023-05-09,8,5,350
2023-05-16,6,1,351
2023-05-23,12,4,355
2023-05-30,5,4,359
2023-06-06,6,3,362
2023-06-13,6,4,366
2023-06-20,3,3,369
2023-06-27,12,7,376
2023-07-04,5,4,380
2023-07-18,10,7,387
2023-07-25,14,8,395
2023-08-01,9,5,400
2023-08-08,8,5,405
2023-08-15,6,2,407
2023-08-22,5,4,411
2023-08-29,6,5,416
2023-09-05,6,5,421
2023-09-12,6,3,424
2023-09-19,5,2,426
2023-09-26,6,5,431
2023-10-03,2,2,433
2023-10-10,2,2,435
2023-10-17,2,1,436
2023-10-24,4,3,439
2023-10-31,6,5,444
2023-11-07,4,2,446
2023-11-14,10,6,452
2023-11-21,6,4,456
2023-11-28,2,1,457
2023-12-05,7,5,462
2023-12-19,13,7,469
2023-12-26,6,5,474
2024-01-02,4,3,477
2024-01-09,7,6,483
2024-01-16,10,8,491
2024-01-23,3,1,492
2024-01-30,6,5,497
2024-02-06,12,11,508
2024-02-13,15,12,520
2024-02-20,11,5,525
2024-02-27,7,6,531
2024-03-05,8,7,538
2024-03-12,8,8,546
2024-03-19,6,4,550
2024-03-26,4,4,554
2024-04-02,5,4,558
2024-04-09,5,4,562
2024-04-16,5,4,566
2024-04-23,7,6,572
2024-04-30,9,6,578
2024-05-07,5,4,582
2024-05-14,6,4,586
2024-05-21,7,7,593
2024-05-28,8,4,597
2024-06-04,4,1,598
2024-06-11,3,3,601
2024-06-18,11,6,607
2024-06-25,4,3,610
2024-07-02,15,9,619
2024-07-09,6,4,623
2024-07-16,5,4,627
2024-07-23,8,5,632
2024-07-30,5,3,635
2024-08-06,5,4,639
2024-08-13,5,3,642
2024-08-20,12,11,653
2024-08-27,8,8,661
2024-09-03,5,4,665
2024-09-10,9,6,671
2024-09-17,11,6,677
2024-09-24,9,7,684
2024-10-01,4,3,687
2024-10-08,3,3,690
2024-10-15,14,9,699
2024-10-22,4,2,701
2024-10-29,5,3,704
2024-11-05,7,3,707
2024-11-12,7,5,712
2024-11-19,8,3,715
2024-11-26,9,4,719
2024-12-03,5,4,723
2024-12-10,7,2,725
2024-12-17,8,5,730
2024-12-24,9,8,738
2024-12-31,12,8,746
2025-01-07,3,3,749
2025-01-14,18,12,761
2025-01-21,13,5,766
2025-01-28,5,4,770
2025-02-04,9,6,776
2025-02-11,5,3,779
2025-02-18,33,22,801
2025-02-25,12,5,806
2025-03-04,3,2,808
2025-03-11,6,2,810
2025-03-18,3,2,812
2025-03-25,9,5,817
2025-04-01,9,5,822
2025-04-08,7,4,826
2025-04-15,9,5,831
2025-04-22,3,3,834
2025-04-29,5,3,837
2025-05-06,1,1,838
2025-05-13,4,3,841
2025-05-20,7,5,846
2025-05-27,8,5,851
2025-06-03,15,9,860
2025-06-10,4,2,862
2025-06-17,6,3,865
2025-06-24,9,6,871
2025-07-01,9,3,874
2025-07-08,12,4,878
2025-07-15,16,12,890
2025-07-22,100,92,982
2025-07-29,163,126,1108
2025-08-05,83,58,1166
2025-08-12,91,71,1237
2025-08-19,113,69,1306
2025-08-26,40,26,1332
2025-09-02,25,14,1346
2025-09-09,28,19,1365
2025-09-16,35,22,1387
2025-09-23,28,17,1404
2025-09-30,28,15,1419
2025-10-07,19,13,1432
2025-10-14,36,23,1455
2025-10-21,27,12,1467
