week,unique_users,new_users,cumulative_users
2021-10-26,59,59,59
2021-11-02,56,52,111
2021-11-09,44,42,153
2021-11-16,46,41,194
2021-11-23,52,47,241
2021-11-30,48,45,286
2021-12-07,52,44,330
2021-12-14,32,29,359
2021-12-21,42,39,398
2021-12-28,40,32,430
2022-01-04,53,47,477
2022-01-11,88,75,552
2022-01-18,122,92,644
2022-01-25,48,41,685
2022-02-01,43,38,723
2022-02-08,93,80,803
2022-02-15,70,54,857
2022-02-22,81,67,924
2022-03-01,100,76,1000
2022-03-08,88,69,1069
2022-03-15,75,58,1127
2022-03-22,67,47,1174
2022-03-29,39,32,1206
2022-04-05,60,44,1250
2022-04-12,58,45,1295
2022-04-19,72,63,1358
2022-04-26,50,37,1395
2022-05-03,109,85,1480
2022-05-10,56,37,1517
2022-05-17,76,58,1575
2022-05-24,74,57,1632
2022-05-31,66,46,1678
2022-06-07,73,45,1723
2022-06-14,50,35,1758
2022-06-21,68,42,1800
2022-06-28,69,46,1846
2022-07-05,57,39,1885
2022-07-12,46,37,1922
2022-07-19,74,49,1971
2022-07-26,73,55,2026
2022-08-02,40,26,2052
2022-08-09,55,37,2089
2022-08-16,78,48,2137
2022-08-23,69,53,2190
2022-08-30,67,45,2235
2022-09-06,67,58,2293
2022-09-13,66,46,2339
2022-09-20,98,74,2413
2022-09-27,90,64,2477
2022-10-04,66,48,2525
2022-10-11,106,70,2595
2022-10-18,78,52,2647
2022-10-25,81,49,2696
2022-11-01,50,36,2732
2022-11-08,86,58,2790
2022-11-15,71,49,2839
2022-11-22,77,56,2895
2022-11-29,65,46,2941
2022-12-06,99,70,3011
2022-12-13,73,49,3060
2022-12-20,77,51,3111
2022-12-27,63,50,3161
2023-01-03,81,51,3212
2023-01-10,60,40,3252
2023-01-17,52,36,3288
2023-01-24,73,45,3333
2023-01-31,91,61,3394
2023-02-07,84,48,3442
2023-02-14,63,40,3482
2023-02-21,73,44,3526
2023-02-28,72,47,3573
2023-03-07,95,63,3636
2023-03-14,55,34,3670
2023-03-21,53,34,3704
2023-03-28,136,106,3810
2023-04-04,63,48,3858
2023-04-11,79,55,3913
2023-04-18,74,46,3959
2023-04-25,81,54,4013
2023-05-02,99,66,4079
2023-05-09,82,51,4130
2023-05-16,63,36,4166
2023-05-23,97,57,4223
2023-05-30,65,44,4267
2023-06-06,47,29,4296
2023-06-13,48,36,4332
2023-06-20,47,37,4369
2023-06-27,80,58,4427
2023-07-04,57,43,4470
2023-07-11,42,31,4501
2023-07-18,66,46,4547
