week,unique_users,new_users,cumulative_users
2021-11-01,6,6,6
2021-11-08,7,7,13
2021-11-15,5,5,18
2021-11-22,10,10,28
2021-11-29,16,15,43
2021-12-06,7,6,49
2021-12-13,9,8,57
2021-12-20,20,18,75
2021-12-27,12,11,86
2022-01-03,15,12,98
2022-01-10,18,14,112
2022-01-17,28,21,133
2022-01-24,9,6,139
2022-01-31,13,12,151
2022-02-07,13,11,162
2022-02-14,21,15,177
2022-02-21,8,6,183
2022-02-28,16,13,196
2022-03-07,18,12,208
2022-03-14,14,5,213
2022-03-21,11,8,221
2022-03-28,15,10,231
2022-04-04,15,11,242
2022-04-11,10,6,248
2022-04-18,13,11,259
2022-04-25,11,10,269
2022-05-02,18,11,280
2022-05-09,11,4,284
2022-05-16,12,8,292
2022-05-23,15,10,302
2022-05-30,15,10,312
2022-06-06,18,10,322
2022-06-13,8,3,325
2022-06-20,11,7,332
2022-06-27,11,6,338
2022-07-04,14,10,348
2022-07-11,7,3,351
2022-07-18,12,7,358
2022-07-25,13,8,366
2022-08-01,14,10,376
2022-08-08,12,6,382
2022-08-15,22,9,391
2022-08-22,20,16,407
2022-08-29,16,10,417
2022-09-05,13,9,426
2022-09-12,8,2,428
2022-09-19,15,8,436
2022-09-26,19,10,446
2022-10-03,26,11,457
2022-10-10,17,7,464
2022-10-17,12,6,470
2022-10-24,18,8,478
2022-10-31,12,8,486
2022-11-07,19,10,496
2022-11-14,9,6,502
2022-11-21,12,4,506
2022-11-28,12,7,513
2022-12-05,20,13,526
2022-12-12,14,8,534
2022-12-19,12,7,541
2022-12-26,16,12,553
2023-01-02,9,4,557
2023-01-09,5,5,562
2023-01-16,10,8,570
2023-01-23,11,4,574
2023-01-30,15,13,587
2023-02-06,14,8,595
2023-02-13,8,6,601
2023-02-20,16,7,608
2023-02-27,11,6,614
2023-03-06,19,15,629
2023-03-13,16,10,639
2023-03-20,15,10,649
2023-03-27,14,7,656
2023-04-03,9,8,664
2023-04-10,16,10,674
2023-04-17,11,5,679
2023-04-24,20,12,691
2023-05-01,21,14,705
2023-05-08,21,11,716
2023-05-15,12,3,719
2023-05-22,25,9,728
2023-05-29,16,9,737
2023-06-05,16,14,751
2023-06-12,9,6,757
2023-06-19,13,7,764
2023-06-26,15,10,774
2023-07-03,15,10,784
2023-07-10,11,6,790
2023-07-17,16,14,804
2023-07-24,24,14,818
2023-07-31,17,8,826
2023-08-07,20,13,839
2023-08-14,15,5,844
2023-08-21,18,11,855
2023-08-28,16,9,864
2023-09-04,13,9,873
2023-09-11,11,3,876
2023-09-18,12,6,882
2023-09-25,15,6,888
2023-10-02,10,5,893
2023-10-09,16,11,904
2023-10-16,6,4,908
2023-10-23,18,11,919
2023-10-30,7,4,923
2023-11-06,10,4,927
2023-11-13,12,6,933
2023-11-20,12,6,939
2023-11-27,9,3,942
2023-12-04,16,10,952
2023-12-11,13,5,957
2023-12-18,19,10,967
2023-12-25,13,8,975
2024-01-01,18,14,989
2024-01-08,16,9,998
2024-01-15,17,12,1010
2024-01-22,19,12,1022
2024-01-29,17,11,1033
2024-02-05,26,17,1050
2024-02-12,23,15,1065
2024-02-19,19,10,1075
2024-02-26,17,8,1083
2024-03-04,16,11,1094
2024-03-11,17,12,1106
2024-03-18,8,4,1110
2024-03-25,12,10,1120
2024-04-01,15,11,1131
2024-04-08,12,7,1138
2024-04-15,17,8,1146
2024-04-22,9,7,1153
2024-04-29,13,8,1161
2024-05-06,18,11,1172
2024-05-13,13,9,1181
2024-05-20,10,6,1187
2024-05-27,18,10,1197
2024-06-03,5,2,1199
2024-06-10,14,10,1209
2024-06-17,18,12,1221
2024-06-24,16,10,1231
2024-07-01,25,15,1246
2024-07-08,10,7,1253
2024-07-15,16,8,1261
2024-07-22,19,8,1269
2024-07-29,15,9,1278
2024-08-05,9,6,1284
2024-08-12,19,10,1294
2024-08-19,21,17,1311
2024-08-26,18,12,1323
2024-09-02,23,19,1342
2024-09-09,19,11,1353
2024-09-16,20,12,1365
2024-09-23,24,10,1375
2024-09-30,16,10,1385
2024-10-07,24,16,1401
2024-10-14,16,10,1411
2024-10-21,15,9,1420
2024-10-28,10,6,1426
2024-11-04,23,15,1441
2024-11-11,12,10,1451
2024-11-18,14,6,1457
2024-11-25,18,7,1464
2024-12-02,11,8,1472
2024-12-09,20,8,1480
2024-12-16,17,7,1487
2024-12-23,14,6,1493
2024-12-30,22,15,1508
2025-01-06,13,9,1517
2025-01-13,32,20,1537
2025-01-20,24,9,1546
2025-01-27,24,17,1563
2025-02-03,30,21,1584
2025-02-10,17,9,1593
2025-02-17,37,23,1616
2025-02-24,30,16,1632
2025-03-03,19,12,1644
2025-03-10,17,14,1658
2025-03-17,17,10,1668
2025-03-24,18,11,1679
2025-03-31,23,15,1694
2025-04-07,12,3,1697
2025-04-14,17,8,1705
2025-04-21,26,19,1724
2025-04-28,15,8,1732
2025-05-05,7,5,1737
2025-05-12,19,11,1748
2025-05-19,15,7,1755
2025-05-26,19,17,1772
2025-06-02,28,14,1786
2025-06-09,22,10,1796
2025-06-16,22,12,1808
2025-06-23,30,19,1827
2025-06-30,20,7,1834
2025-07-07,17,7,1841
2025-07-14,36,26,1867
2025-07-21,104,84,1951
2025-07-28,232,179,2130
2025-08-04,133,84,2214
2025-08-11,134,91,2305
2025-08-18,148,98,2403
2025-08-25,72,40,2443
2025-09-01,47,29,2472
2025-09-08,44,23,2495
2025-09-15,55,28,2523
2025-09-22,54,31,2554
2025-09-29,43,22,2576
2025-10-06,26,13,2589
2025-10-13,54,31,2620
2025-10-20,41,17,2637
