model,group,K,coherence
LDA,vpn,2,0.4658152559508417
LDA,vpn,3,0.4727014951896252
LDA,vpn,4,0.4959774349372425
LDA,vpn,5,0.5070273111516672
LDA,vpn,6,0.5175988962001784
LDA,vpn,7,0.5209004094448115
LDA,vpn,8,0.5098281975349521
LDA,vpn,9,0.4845290285565667
LDA,vpn,10,0.5145538278198172
LDA,vpn,11,0.5266150824339713
LDA,vpn,12,0.5328072603790076
LDA,vpn,13,0.5196413387249762
LDA,vpn,14,0.5154463448088793
LDA,vpn,15,0.4944348601151486
LDA,vpn,16,0.5028170085752335
LDA,vpn,17,0.4942366788783776
LDA,vpn,18,0.5127000261431683
LDA,vpn,19,0.5199577793729897
LDA,vpn,20,0.5028525144640373
LDA,politics,2,0.520548956021345
LDA,politics,3,0.4862305540475047
LDA,politics,4,0.5309604794184655
LDA,politics,5,0.4998730495365295
LDA,politics,6,0.4731361081787917
LDA,politics,7,0.5069396754662867
LDA,politics,8,0.4972004090817861
LDA,politics,9,0.5160616040708415
LDA,politics,10,0.5353728440552704
LDA,politics,11,0.5079636810692076
LDA,politics,12,0.5273815475829894
LDA,politics,13,0.521522416503661
LDA,politics,14,0.5127577649107435
LDA,politics,15,0.5024524324862455
LDA,politics,16,0.5085837705304372
LDA,politics,17,0.5356346316499472
LDA,politics,18,0.5336276141010861
LDA,politics,19,0.5060354187785736
LDA,politics,20,0.5033393323883517
BERTopic,vpn,3,0.5820179638478638
BERTopic,vpn,4,0.44494447898895695
BERTopic,vpn,5,0.44233175719546736
BERTopic,vpn,6,0.46974043682457667
BERTopic,vpn,7,0.44527572913507685
BERTopic,vpn,8,0.45957934079129703
BERTopic,vpn,9,0.4408686715486232
BERTopic,vpn,10,0.46986119319996333
BERTopic,vpn,11,0.4625358112248811
BERTopic,vpn,12,0.4552850496203313
BERTopic,vpn,13,0.448761822249506
BERTopic,vpn,14,0.4332429722963504
BERTopic,vpn,15,0.4281296677458731
BERTopic,vpn,16,0.4352829421648441
BERTopic,vpn,17,0.4485230013955622
BERTopic,vpn,18,0.4500269904585662
BERTopic,vpn,19,0.4531193391405232
BERTopic,vpn,20,0.4458317488173487
BERTopic,politics,3,0.2974323695628788
BERTopic,politics,4,0.3959105688222955
BERTopic,politics,5,0.38431081070123796
BERTopic,politics,6,0.35236968659432666
BERTopic,politics,7,0.3944159590747236
BERTopic,politics,8,0.41484985711641464
BERTopic,politics,9,0.4501096699612523
BERTopic,politics,10,0.42167911241507006
BERTopic,politics,11,0.4012622715160531
BERTopic,politics,12,0.43183205932004454
BERTopic,politics,13,0.4249450539413617
BERTopic,politics,14,0.42532293756713574
BERTopic,politics,15,0.4361357763544726
BERTopic,politics,16,0.44359515537987476
BERTopic,politics,17,0.4504185105579336
BERTopic,politics,18,0.4458020701199489
BERTopic,politics,19,0.444689301936088
BERTopic,politics,20,0.4631190485552141
