topic_id,top_words
0,"ofcom, read, thank, article, report, word, notice, advert, letter, listen"
1,"address, server, tor, app, traffic, youtube, google, log, download, proxy"
2,"online, act, safety, bill, surfshark, petition, xbox, pass, nan, netherlands"
3,"pay, month, network, service, phone, dns, connection, provider, home, netflix"
4,"osa, support, labour, party, vote, reform, authoritarian, policy, tory, tories"
5,"sub, flag, machine, screen, mark, bot, thread, trivial, vast, presumably"
6,"video, game, image, abuse, woman, film, sexual, node, movie, sex"
7,"bill, private, iplayer, present, member, tax, reading, nhs, overseas, packet"
8,"end, encryption, security, message, nordvpn, encrypt, device, apple, secure, key"
9,"work, government, law, ban, try, year, country, mean, issue, point"
10,"office, week, home, house, staff, ireland, minister, mail, prime, england"
11,"news, bbc, ofcom, channel, rule, radio, watch, sky, broadcast, ukraine"
12,"user, service, content, provider, platform, comply, company, host, risk, legal"
13,"access, block, site, child, porn, kid, content, bypass, watch, internet"
14,"medium, social, speech, twitter, anonymity, freedom, platform, free, right, facebook"
15,"police, crime, criminal, facial, arrest, recognition, chinese, trial, offence, camera"
16,"age, datum, verification, account, check, company, ask, require, information, verify"
