topic_id,top_words
0,"app, google, apple, browser, android, device, source, store, search, open"
1,"isp, tor, traffic, block, dns, network, server, connection, provider, website"
2,"site, access, country, porn, block, state, website, content, law, usa"
3,"datum, service, company, information, user, provider, government, data, email, address"
4,"privacy, law, online, surveillance, right, government, control, act, facial, state"
5,"government, privacy, law, bad, point, mean, happen, try, actually, proton"
6,"phone, account, track, number, camera, home, device, privacy, anonymous, public"
7,"age, verification, social, porn, verify, require, child, medium, kid, account"
8,"work, china, year, ago, month, thank, chinese, windscribe, day, problem"
9,"ban, internet, censorship, country, government, free, russia, censor, tiktok, russian"
10,"encryption, end, message, encrypt, key, signal, backdoor, chat, device, scan"
11,"server, work, block, connect, try, country, protocol, connection, proton, internet"
