topic_id,label,n_docs,pct_negative,pct_neutral,pct_positive
0,App/browser access,92,51.1,39.1,9.8
1,"ISP visibility, DNS & Tor",158,37.3,60.1,2.5
2,Geo-blocking & site access,101,48.5,44.6,6.9
3,VPN no-logs & court orders,167,53.9,41.9,4.2
4,Government surveillance & OSA,577,68.3,26.7,5.0
5,Surveillance & anonymity,508,65.0,29.5,5.5
6,Opsec & anonymity practices,80,41.2,51.2,7.5
7,Age verification & digital ID,306,57.8,35.3,6.9
8,Censorship circumvention & streaming,76,39.5,52.6,7.9
9,VPN bans & state censorship,63,61.9,31.7,6.3
10,End-to-end encryption,50,78.0,18.0,4.0
11,VPN connectivity & blocking,252,40.9,55.6,3.6
