provider_record_id,provider_name,traffic_logging,connection_metadata,tracking_identifiers,third_party_sharing,long_term_retention,policy_vagueness,risk_category,monthly_google_trends_attention
vpn_policy_record_001,AdGuard VPN,no,yes,unclear,no,yes,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 47.5, 12.6, 0.0, 0.0, 13.6, 0.0, 0.0, 3.5, 13.0]"
vpn_policy_record_002,AirVPN,no,unclear,unclear,unclear,no,no,LOW,"[0.0, 15.0, 0.0, 0.0, 17.0, 0.0, 0.0, 14.5, 15.2, 0.0, 0.0, 4.75, 34.5]"
vpn_policy_record_003,Betternet VPN,no,yes,yes,yes,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0]"
vpn_policy_record_004,Astrill VPN,no,yes,unclear,unclear,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.25, 0.0, 3.0, 25.0]"
vpn_policy_record_005,Browsec,unclear,unclear,yes,no,unclear,no,MEDIUM,"[8.5, 0.0, 0.0, 0.0, 34.0, 33.6, 27.5, 29.75, 35.2, 31.75, 22.0, 23.5, 25.0]"
vpn_policy_record_006,BlackVPN,no,no,unclear,unclear,unclear,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_007,Cloudflare 1.1.1.1 VPN,unclear,unclear,unclear,unclear,unclear,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_008,Encrypt.me,unclear,unclear,unclear,unclear,unclear,unclear,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_009,ExpressVPN,unclear,unclear,unclear,unclear,unclear,unclear,LOW,"[47.5, 39.25, 35.0, 40.2, 61.25, 58.4, 45.75, 47.25, 51.8, 54.0, 50.25, 42.0, 47.5]"
vpn_policy_record_010,Free VPN by FreeVPN.org,no,no,no,no,no,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
